,Total score,Spain,Belgium,Belarus,Malta,Germany,Czech Republic,Sweden,Iceland,France,Israel,Russia,Latvia,Montenegro,Andorra,Finland,Switzerland,Bulgaria,Lithuania,United Kingdom,Macedonia,Slovakia,Greece,Bosnia and Herzegovina,Ukraine,Turkey,Albania,Serbia,Cyprus,Poland,Netherlands,Estonia,Croatia,Portugal,Romania,Ireland,Denmark,Moldova,Slovenia,Armenia,Hungary,Azerbaijan,Norway,Country,Year
0,23,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,1,0,Lithuania,2009
1,53,0,8,0,0,0,4,0,0,10,0,0,0,4,7,0,1,0,0,0,0,5,0,8,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Israel,2009
2,107,3,1,7,0,3,0,0,6,0,5,10,5,1,3,4,7,0,6,1,0,0,6,6,3,0,2,3,0,0,6,0,0,0,0,3,2,0,7,6,0,0,1,France,2009
3,33,0,0,0,4,0,0,0,3,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,4,Sweden,2009
4,45,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,4,0,2,12,0,0,0,5,0,0,0,0,0,0,0,0,0,2,6,0,0,5,0,Croatia,2009
5,57,8,6,0,0,0,7,0,7,7,0,0,0,0,6,0,10,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Portugal,2009
6,218,0,0,2,12,7,2,10,0,0,10,3,8,5,8,10,5,5,8,8,2,6,4,0,0,2,6,0,5,1,7,8,2,8,10,12,10,3,5,5,7,0,12,Iceland,2009
7,120,1,5,5,7,6,0,2,0,0,0,4,0,2,0,0,2,12,0,5,0,0,0,5,0,0,12,6,12,0,1,0,7,0,8,0,0,0,4,10,4,0,0,Greece,2009
8,92,4,7,1,0,0,12,3,5,6,8,5,0,0,0,1,0,6,0,0,1,3,0,0,2,6,0,0,4,2,5,0,0,4,7,0,0,0,0,0,0,0,0,Armenia,2009
9,91,0,0,8,0,5,8,0,0,0,7,0,6,0,0,0,0,0,7,0,0,0,0,0,8,4,0,0,1,3,0,10,0,0,0,0,0,6,0,12,0,6,0,Russia,2009
10,207,0,3,10,1,0,10,8,0,1,6,7,4,6,0,2,0,8,5,3,3,4,8,3,10,12,4,4,8,6,10,7,10,0,4,0,8,10,1,1,10,0,10,Azerbaijan,2009
11,106,0,0,0,0,2,0,5,2,0,0,0,0,12,0,6,4,4,0,0,10,8,0,0,0,8,5,12,0,0,4,0,12,0,0,0,0,0,10,0,0,2,0,Bosnia and Herzegovina,2009
12,69,5,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,5,0,0,3,12,12,0,0,0,0,2,0,7,3,Moldova,2009
13,31,0,0,0,0,4,0,0,0,0,0,0,1,0,1,3,0,0,1,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,Malta,2009
14,129,0,0,4,0,1,0,7,10,0,0,8,10,0,0,12,0,0,10,0,0,12,5,0,4,0,0,0,3,8,0,0,6,0,1,6,5,7,0,0,6,4,0,Estonia,2009
15,74,0,0,0,6,0,0,0,4,5,0,0,3,0,5,0,0,0,2,0,0,0,0,0,5,0,0,1,6,7,0,0,0,0,2,4,0,5,8,0,3,0,8,Denmark,2009
16,35,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,3,0,0,0,2,0,0,1,0,1,7,0,0,0,0,0,6,Germany,2009
17,177,2,12,0,5,10,1,6,0,12,3,0,0,3,0,5,12,10,0,12,12,0,3,7,0,0,10,0,0,0,8,0,1,3,6,0,6,0,0,4,5,12,7,Turkey,2009
18,48,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,6,0,0,0,7,0,7,0,0,10,0,0,0,0,0,1,5,0,0,0,0,0,2,0,2,0,0,Albania,2009
19,387,12,10,12,8,12,3,12,12,8,12,12,12,10,10,8,8,2,12,10,8,10,10,10,12,3,7,10,10,12,12,12,8,5,5,8,12,8,12,8,12,8,0,Norway,2009
20,76,6,0,6,2,0,5,0,0,0,2,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,4,0,3,8,10,5,Ukraine,2009
21,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,2,2,0,0,0,0,2,0,2,0,12,0,0,0,3,0,Romania,2009
22,173,10,0,3,10,8,6,0,0,4,4,6,2,0,4,0,0,7,3,0,6,7,12,4,6,0,8,8,7,4,3,0,4,10,0,10,3,1,3,7,1,0,2,United Kingdom,2009
23,22,0,0,0,3,0,0,4,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Finland,2009
24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,Spain,2009
