,Total score,Romania,Ireland,Germany,Serbia,Albania,Turkey,Croatia,Poland,Bosnia and Herzegovina,Finland,Slovenia,Estonia,Russia,Portugal,Azerbaijan,Greece,Iceland,Denmark,France,Spain,Slovakia,Bulgaria,Ukraine,Latvia,Malta,Norway,Cyprus,Lithuania,Belarus,Switzerland,Belgium,United Kingdom,Netherlands,Israel,Macedonia,Moldova,Georgia,Sweden,Armenia,Country,Year
0,145,0,3,0,0,0,12,0,8,7,0,0,0,8,0,0,1,4,2,0,7,0,12,12,2,12,7,10,0,6,2,5,0,0,7,3,7,8,0,0,Azerbaijan,2010
1,68,2,0,0,0,7,0,0,0,0,4,5,0,4,12,0,0,0,0,0,0,0,2,4,5,0,0,0,8,0,0,1,0,0,1,0,4,2,0,7,Spain,2010
2,35,0,2,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,4,2,Norway,2010
3,27,10,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,Moldova,2010
4,27,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,1,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,Cyprus,2010
5,51,0,0,0,12,6,8,10,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,Bosnia and Herzegovina,2010
6,143,4,10,12,5,0,0,0,10,0,6,0,3,5,5,0,6,10,10,7,0,10,0,1,4,10,3,0,7,0,7,0,0,6,0,0,0,0,2,0,Belgium,2010
7,72,0,0,5,0,3,0,8,0,12,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,10,0,0,1,0,7,0,0,7,0,Serbia,2010
8,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,Belarus,2010
9,25,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,6,0,0,0,0,0,Ireland,2010
10,140,7,0,8,10,12,3,0,1,6,7,0,0,0,8,0,0,8,0,4,5,5,5,0,0,7,0,12,0,0,0,12,12,3,0,0,2,0,0,3,Greece,2010
11,10,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,United Kingdom,2010
12,136,0,5,0,0,0,5,7,4,4,0,1,8,10,0,8,5,2,0,0,1,0,6,7,0,0,1,5,12,7,1,4,0,0,5,5,5,0,6,12,Georgia,2010
13,170,8,1,10,3,8,0,12,0,10,3,2,6,0,0,12,0,0,6,12,3,0,10,8,0,0,2,0,4,3,3,6,10,8,0,10,0,5,5,0,Turkey,2010
14,62,1,0,1,0,0,7,5,2,5,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,12,0,0,0,0,Albania,2010
15,41,0,0,4,0,0,0,0,0,0,5,0,4,0,0,0,3,0,3,0,0,0,0,0,0,6,6,0,0,2,0,8,0,0,0,0,0,0,0,0,Iceland,2010
16,108,5,0,0,7,0,1,0,3,0,0,0,0,7,0,10,0,0,0,2,0,0,7,0,7,0,0,6,6,10,0,0,5,7,2,0,8,7,0,8,Ukraine,2010
17,82,0,6,3,4,0,0,3,0,3,8,3,1,0,7,0,8,6,7,0,2,0,0,0,0,2,4,3,0,0,0,0,2,0,3,1,0,0,0,6,France,2010
18,162,0,7,0,6,5,2,0,6,2,0,7,0,3,10,7,4,5,8,0,10,1,0,2,3,5,10,8,2,1,4,0,8,5,8,0,12,0,10,1,Romania,2010
19,90,0,0,0,0,0,4,0,0,0,0,0,10,0,2,3,0,0,0,0,0,6,0,10,8,0,0,0,5,12,0,0,0,0,10,0,10,0,0,10,Russia,2010
20,141,6,0,7,1,0,6,0,5,0,0,0,0,12,0,0,7,0,0,6,8,4,8,6,1,0,0,7,0,5,0,7,0,12,12,4,6,10,1,0,Armenia,2010
21,246,3,8,0,8,10,10,6,7,8,12,10,12,6,1,1,2,3,12,3,12,12,3,5,12,4,12,4,10,0,12,10,4,4,0,8,0,0,12,0,Germany,2010
22,43,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,6,0,0,0,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,4,Portugal,2010
23,71,0,0,0,0,4,0,0,0,1,10,6,0,0,0,5,0,0,0,1,0,8,0,3,0,0,5,2,0,8,0,0,3,10,0,0,1,4,0,0,Israel,2010
24,149,12,12,0,0,2,0,2,12,0,2,12,5,1,4,4,0,12,0,0,4,7,0,0,10,8,8,0,3,0,0,2,6,2,4,2,0,0,8,5,Denmark,2010
