,Total score,Russia,Bulgaria,Netherlands,Italy,Cyprus,Ukraine,Finland,Norway,Armenia,Macedonia,Iceland,Slovakia,United Kingdom,Denmark,Austria,Poland,Sweden,San Marino,Germany,Azerbaijan,Slovenia,Turkey,Switzerland,Greece,Georgia,France,Serbia,Croatia,Belarus,Romania,Albania,Malta,Portugal,Hungary,Lithuania,Bosnia and Herzegovina,Ireland,Spain,Israel,Estonia,Moldova,Belgium,Latvia,Country,Year
0,57,0,0,0,0,0,0,0,12,0,0,10,0,0,5,0,5,7,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,7,0,0,0,Finland,2011
1,125,0,2,8,4,0,0,0,4,0,12,0,0,0,0,12,0,8,0,7,0,12,10,12,3,0,5,12,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,2011
2,134,0,7,12,0,3,0,0,7,0,0,12,6,5,0,0,3,10,4,6,0,8,0,0,0,0,7,0,0,1,0,0,5,0,0,0,0,12,0,10,10,0,0,6,Denmark,2011
3,63,2,0,0,0,0,0,0,3,0,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,12,0,7,2,0,1,0,0,0,0,0,0,10,1,0,0,0,0,7,Lithuania,2011
4,53,0,0,0,0,0,4,12,0,0,0,5,0,0,0,2,0,5,0,0,2,0,0,0,0,0,2,8,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,Hungary,2011
5,119,0,3,5,0,0,0,10,0,0,0,4,8,12,12,4,1,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,2,0,7,0,0,0,7,10,Ireland,2011
6,185,1,0,10,0,10,1,6,10,4,6,7,10,3,10,0,0,0,6,0,3,4,4,0,6,1,10,1,4,4,3,0,6,0,10,0,5,4,5,12,12,3,4,0,Sweden,2011
7,44,0,0,0,0,0,2,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,5,0,6,2,4,Estonia,2011
8,120,8,10,0,2,12,6,0,0,7,3,0,0,0,0,0,0,0,8,10,8,0,0,2,0,6,0,3,0,0,8,10,0,0,8,0,0,0,0,0,0,1,8,0,Greece,2011
9,77,0,4,0,0,2,8,0,0,8,0,1,0,0,0,0,0,0,0,5,4,0,0,0,1,4,0,4,0,5,0,4,0,0,3,6,0,0,0,8,5,5,0,0,Russia,2011
10,82,3,0,0,1,7,5,4,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,2,0,0,6,0,0,2,1,2,0,0,4,0,10,0,0,2,12,1,France,2011
11,189,0,0,0,0,1,0,3,0,6,1,3,0,7,0,6,10,0,12,3,1,3,0,4,10,7,8,2,0,3,6,12,10,10,4,10,6,5,12,0,6,0,6,12,Italy,2011
12,19,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switzerland,2011
13,100,4,12,0,10,4,3,0,1,2,5,2,0,0,3,0,0,0,2,0,5,1,6,0,2,0,1,0,0,2,0,6,7,3,0,3,0,6,0,1,0,4,0,5,United Kingdom,2011
14,97,7,0,0,8,0,7,0,0,0,0,0,5,8,0,5,0,0,0,4,7,0,0,0,0,5,4,0,0,7,12,0,0,5,0,4,0,8,0,0,0,0,1,0,Moldova,2011
15,107,0,0,7,6,0,0,0,5,0,0,6,0,0,8,10,4,6,0,0,0,7,3,8,4,0,3,0,1,8,0,0,0,0,0,2,3,0,3,0,0,0,5,8,Germany,2011
16,77,0,6,4,12,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,6,1,12,10,0,Romania,2011
17,64,0,5,1,0,0,0,1,0,3,2,0,3,2,1,0,0,4,0,12,0,5,1,7,0,3,0,0,3,0,0,0,2,0,2,0,7,0,0,0,0,0,0,0,Austria,2011
18,221,12,0,6,0,8,10,5,0,0,0,8,7,0,0,8,8,3,10,0,0,0,12,1,5,8,6,0,10,6,10,8,12,8,7,8,8,0,0,4,8,10,3,2,Azerbaijan,2011
19,96,5,0,2,0,6,0,0,0,0,10,0,1,0,7,3,0,0,1,1,0,0,2,0,0,0,0,10,12,0,4,0,3,1,6,0,12,2,0,3,2,0,0,3,Slovenia,2011
20,61,0,0,0,5,0,0,8,8,0,0,0,0,4,6,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,12,0,1,0,2,0,0,0,0,0,Iceland,2011
21,50,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,2,0,3,0,0,12,0,0,0,5,5,0,12,0,0,0,0,0,0,4,0,0,0,Spain,2011
22,159,10,8,0,7,5,0,0,0,12,7,0,12,0,0,0,2,2,0,0,12,6,7,0,7,10,0,6,5,10,2,3,4,7,0,0,0,0,0,7,0,8,0,0,Ukraine,2011
23,85,0,0,3,3,0,0,2,6,1,8,0,0,0,0,7,6,0,5,0,0,10,0,6,0,0,0,0,8,0,0,1,0,0,0,5,10,0,4,0,0,0,0,0,Serbia,2011
24,110,6,1,0,0,0,12,0,0,10,0,0,0,0,0,0,7,0,7,0,10,0,8,0,8,0,0,0,0,12,0,0,0,0,5,12,0,0,0,2,3,7,0,0,Georgia,2011
