,Total score,Albania,Montenegro,Romania,Austria,Ukraine,Belarus,Belgium,Azerbaijan,Malta,San Marino,France,United Kingdom,Turkey,Greece,Bosnia and Herzegovina,Moldova,Bulgaria,Switzerland,Slovenia,Cyprus,Croatia,Slovakia,Macedonia,Netherlands,Portugal,Iceland,Sweden,Norway,Lithuania,Estonia,Denmark,Latvia,Spain,Finland,Georgia,Italy,Serbia,Germany,Russia,Hungary,Israel,Ireland,Country,Year
0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,4,United Kingdom,2012
1,19,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Hungary,2012
2,146,0,10,1,8,0,0,10,0,1,12,0,0,5,10,6,0,4,12,3,4,5,0,12,0,0,0,1,0,0,0,5,1,0,6,3,12,1,6,0,8,0,0,Albania,2012
3,70,0,1,0,0,0,8,0,4,4,0,3,7,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,6,0,3,0,4,0,0,12,0,0,0,5,0,0,7,Lithuania,2012
4,55,0,6,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,1,7,0,10,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Bosnia and Herzegovina,2012
5,259,3,4,4,5,10,12,8,10,3,10,4,3,7,4,3,6,6,0,8,5,6,3,4,4,8,7,7,8,6,8,8,10,8,8,5,10,7,7,0,7,7,6,Russia,2012
6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,0,5,0,6,6,0,4,7,0,0,0,3,0,6,0,0,Iceland,2012
7,65,6,0,2,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,5,0,0,5,8,0,2,0,3,0,Cyprus,2012
8,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,6,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,France,2012
9,101,7,2,0,0,4,0,0,0,10,7,1,0,0,3,0,5,0,5,5,2,2,5,5,0,2,0,0,4,4,7,3,0,1,0,4,0,0,2,0,5,4,2,Italy,2012
10,120,0,0,0,0,1,4,0,0,0,0,10,4,0,0,0,2,0,0,0,0,0,10,0,7,7,10,8,7,8,0,0,8,6,10,0,0,0,4,6,0,0,8,Estonia,2012
11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Norway,2012
12,150,4,5,0,0,12,7,0,0,12,4,0,2,12,5,7,10,10,0,0,8,0,6,2,0,0,0,0,0,12,0,0,0,0,0,10,0,3,0,10,0,8,1,Azerbaijan,2012
13,71,0,0,0,0,0,0,3,6,0,0,2,0,4,7,0,12,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,10,0,0,7,0,0,1,0,6,5,Romania,2012
14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,5,0,2,0,5,0,0,0,0,Denmark,2012
15,64,12,0,8,0,5,0,2,5,0,0,0,0,3,0,1,4,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3,0,2,0,Greece,2012
16,372,5,7,10,12,6,6,12,7,6,3,12,12,6,6,8,7,8,7,10,10,7,12,6,12,3,12,0,12,10,12,12,12,12,12,8,0,10,12,12,12,12,12,Sweden,2012
17,112,10,0,3,3,0,0,7,12,8,5,5,1,0,0,4,0,7,3,0,0,0,0,8,8,0,0,6,0,1,0,2,0,0,0,7,0,0,8,0,3,1,0,Turkey,2012
18,97,0,0,6,6,0,0,6,0,0,1,6,8,0,0,5,0,3,8,0,6,0,0,0,6,12,2,4,0,0,4,0,0,0,3,0,0,0,0,0,1,10,0,Spain,2012
19,110,2,0,0,4,0,0,0,0,2,0,7,6,0,0,0,0,0,4,2,0,4,0,0,2,10,0,0,3,3,10,10,7,3,1,2,8,0,0,0,10,0,10,Germany,2012
20,41,0,0,0,0,7,3,0,8,0,2,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,Malta,2012
21,71,8,8,0,0,3,2,0,0,0,0,0,0,8,0,12,0,2,0,6,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,Macedonia,2012
22,46,0,0,0,0,0,1,4,1,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,5,0,4,5,0,0,0,4,5,0,4,0,0,0,0,0,0,0,0,Ireland,2012
23,214,1,12,5,10,2,0,5,0,5,6,8,0,0,8,10,3,12,10,12,7,12,7,10,10,5,3,10,10,5,0,0,0,0,2,0,6,0,10,4,4,0,0,Serbia,2012
24,65,0,0,0,0,0,10,0,3,7,0,0,0,0,1,0,8,0,0,0,0,0,0,3,0,1,0,0,1,2,1,0,6,2,0,6,3,0,0,8,0,0,3,Ukraine,2012
25,81,0,3,12,1,8,5,0,0,0,8,0,0,0,2,0,0,0,2,1,0,1,0,0,0,6,0,0,0,0,0,7,0,7,0,0,4,0,0,7,2,5,0,Moldova,2012
