,Total score,San Marino,Sweden,Albania,Netherlands,Austria,United Kingdom,Israel,Serbia,Ukraine,Hungary,Romania,Moldova,Azerbaijan,Norway,Armenia,Italy,Finland,Spain,Belarus,Latvia,Bulgaria,Belgium,Russia,Malta,Estonia,Germany,Iceland,France,Greece,Ireland,Denmark,Montenegro,Slovenia,Georgia,Macedonia,Cyprus,Croatia,Switzerland,Lithuania,Country,Year
0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,France,2013
1,17,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Lithuania,2013
2,71,0,0,0,0,2,0,1,6,8,0,12,0,1,0,0,4,0,2,4,0,3,3,6,0,0,0,0,4,0,3,0,5,0,0,7,0,0,0,0,Moldova,2013
3,13,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,Finland,2013
4,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,2013
5,71,5,7,0,12,3,3,0,3,0,4,0,0,0,3,0,0,3,0,0,2,0,0,8,0,2,0,0,5,0,4,5,0,2,0,0,0,0,0,0,Belgium,2013
6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Estonia,2013
7,48,0,0,0,0,0,0,3,0,12,0,0,4,7,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,5,5,0,0,0,1,Belarus,2013
8,120,10,0,0,8,0,7,0,0,2,8,5,0,8,10,6,10,0,1,7,5,0,0,0,0,5,5,5,2,3,0,4,0,0,3,3,3,0,0,0,Malta,2013
9,174,0,5,0,4,0,10,7,8,4,0,0,7,0,0,7,0,2,6,8,12,5,4,0,0,12,2,1,6,0,10,7,7,10,6,6,5,6,0,7,Russia,2013
10,18,0,0,3,0,6,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Germany,2013
11,41,1,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,2,0,8,0,2,1,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,Armenia,2013
12,114,0,8,4,0,8,6,0,0,0,5,2,0,0,8,0,0,8,0,0,0,0,12,3,0,7,0,8,0,0,6,10,0,7,0,2,0,2,4,4,Netherlands,2013
13,65,0,4,5,0,4,4,0,0,0,0,0,10,6,6,0,1,0,0,0,0,0,0,0,7,0,0,6,1,10,0,0,1,0,0,0,0,0,0,0,Romania,2013
14,23,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,United Kingdom,2013
15,62,0,0,0,3,0,0,0,1,0,0,0,5,0,12,0,0,4,0,0,4,4,1,0,0,1,3,4,0,0,5,8,0,6,0,0,0,1,0,0,Sweden,2013
16,84,6,3,8,7,0,0,0,2,0,0,0,0,0,2,0,3,10,0,0,0,6,0,0,0,4,12,0,0,2,0,0,0,0,0,0,0,4,10,5,Hungary,2013
17,281,0,10,1,10,5,12,8,12,5,10,6,6,5,7,4,12,7,8,1,6,2,10,4,6,8,10,12,12,7,12,0,10,12,7,12,7,10,3,2,Denmark,2013
18,47,0,6,0,0,0,2,0,0,0,6,0,0,0,4,0,0,5,0,0,0,0,0,0,0,6,8,0,0,0,0,1,0,4,0,0,0,0,5,0,Iceland,2013
19,234,2,0,7,2,12,0,12,5,10,12,10,8,0,0,0,0,0,7,10,3,12,5,12,12,0,4,7,8,12,2,0,12,3,12,0,8,7,6,12,Azerbaijan,2013
20,152,12,0,10,1,7,8,2,0,0,1,7,0,4,5,8,7,1,0,6,1,7,2,10,4,0,6,0,0,0,0,6,8,0,0,4,12,5,8,0,Greece,2013
21,214,0,0,0,5,1,5,10,10,0,7,4,12,12,1,12,5,0,10,12,7,10,8,1,10,10,0,3,0,8,8,3,0,0,8,0,10,12,0,10,Ukraine,2013
22,126,4,0,12,0,10,0,0,4,0,0,1,0,0,0,1,0,0,12,0,0,0,6,0,8,0,0,0,10,6,0,0,6,8,2,10,6,8,12,0,Italy,2013
23,191,7,12,2,6,0,0,6,7,3,2,8,2,2,0,3,8,12,5,3,8,1,7,7,3,3,7,10,0,4,0,12,4,5,4,8,4,3,7,6,Norway,2013
24,50,0,0,0,0,0,0,0,0,7,0,0,3,10,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,8,Georgia,2013
25,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Ireland,2013
