,Total score,Azerbaijan,Greece,Poland,Albania,San Marino,Denmark,Montenegro,Romania,Russia,Netherlands,Malta,France,United Kingdom,Latvia,Armenia,Iceland,Macedonia,Sweden,Belarus,Germany,Israel,Portugal,Norway,Estonia,Hungary,Moldova,Ireland,Finland,Lithuania,Austria,Spain,Belgium,Italy,Ukraine,Switzerland,Georgia,Slovenia,Country,Year
0,113,10,5,5,0,0,1,7,0,7,0,0,0,0,7,0,0,0,0,8,0,5,0,0,8,2,10,0,2,5,5,6,4,10,0,0,6,0,Ukraine,2014
1,43,7,0,0,0,0,0,1,0,12,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,5,0,0,3,0,0,0,0,6,0,0,0,Belarus,2014
2,33,0,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,Azerbaijan,2014
3,58,0,0,0,0,8,5,0,0,1,6,0,7,4,0,0,0,0,4,0,2,0,0,6,0,5,0,0,0,0,2,1,0,7,0,0,0,0,Iceland,2014
4,88,0,3,7,0,0,6,0,1,0,10,2,2,0,5,0,1,0,3,4,5,0,3,0,3,0,0,7,7,8,1,0,0,0,0,5,0,5,Norway,2014
5,72,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,1,0,8,1,4,0,0,12,2,0,0,8,8,5,5,0,0,0,0,Romania,2014
6,174,0,7,1,0,6,2,10,7,8,7,6,12,0,10,0,2,8,5,10,6,6,4,0,5,7,3,0,4,0,12,4,0,0,10,0,12,0,Armenia,2014
7,37,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Montenegro,2014
8,62,2,1,0,0,0,0,4,0,0,0,0,5,0,0,0,3,5,2,7,10,0,0,2,0,3,2,0,0,0,0,0,0,8,7,0,0,1,Poland,2014
9,35,4,0,0,2,0,0,0,0,4,0,1,0,2,0,7,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,Greece,2014
10,290,1,12,0,5,0,8,2,8,5,12,10,10,12,6,0,10,3,12,0,7,12,12,10,4,10,7,12,12,10,0,12,12,12,8,12,10,12,Austria,2014
11,39,0,0,8,4,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,2,Germany,2014
12,218,0,2,4,7,10,12,3,12,2,8,7,4,7,8,0,7,0,0,0,0,10,8,8,10,8,6,4,10,7,6,10,10,0,12,6,2,8,Sweden,2014
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,France,2014
14,89,12,10,0,0,0,0,0,0,0,0,5,0,0,2,10,0,6,0,12,0,3,2,0,1,0,8,0,0,6,0,0,0,0,4,0,8,0,Russia,2014
15,33,0,0,0,10,0,0,6,0,0,0,12,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Italy,2014
16,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slovenia,2014
17,72,0,0,3,0,3,4,0,0,0,2,0,0,6,3,0,5,0,6,0,4,0,0,7,6,6,0,0,0,0,4,0,3,6,0,4,0,0,Finland,2014
18,74,0,0,2,12,0,0,0,5,0,0,0,6,5,4,2,0,0,0,0,1,4,0,5,2,0,0,6,0,4,0,0,2,0,2,8,0,4,Spain,2014
19,64,0,4,10,0,0,0,5,6,0,3,3,0,1,0,5,0,0,0,0,3,0,7,0,0,1,0,5,0,2,3,0,0,2,0,0,1,3,Switzerland,2014
20,143,8,6,0,8,7,3,12,10,6,4,0,0,0,1,0,6,10,7,5,0,7,6,0,7,0,4,1,5,0,7,2,7,0,3,1,0,0,Hungary,2014
21,32,5,0,0,1,4,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,Malta,2014
22,74,0,0,6,0,1,0,0,4,0,1,0,3,3,0,1,8,0,8,0,8,0,5,1,0,0,0,0,6,1,0,3,6,0,0,3,0,6,Denmark,2014
23,238,0,8,12,0,2,10,0,3,3,0,0,8,8,12,4,12,7,10,2,12,0,10,12,12,12,0,10,8,12,10,7,8,4,0,10,0,10,Netherlands,2014
24,14,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,San Marino,2014
25,40,0,0,0,0,5,7,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,8,0,0,0,5,1,0,0,0,3,0,United Kingdom,2014
