,Total score,Montenegro,Malta,Finland,Greece,Romania,Belarus,Albania,Moldova,Azerbaijan,Latvia,Serbia,Denmark,Switzerland,Belgium,France,Armenia,Ireland,Sweden,Germany,Australia,Czech Republic,Spain,Austria,Macedonia,Slovenia,Hungary,United Kingdom,Lithuania,Netherlands,Poland,Israel,Russia,San Marino,Italy,Iceland,Cyprus,Norway,Portugal,Estonia,Georgia,Country,Year
0,39,4,0,1,0,0,0,0,0,3,3,5,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,4,0,1,6,0,0,0,2,0,1,0,0,0,Slovenia,2015
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,France,2015
2,97,3,5,3,0,1,2,5,0,7,1,6,0,3,0,0,0,0,4,5,2,0,1,2,0,0,0,5,0,5,4,0,0,2,8,5,6,4,7,0,1,Israel,2015
3,106,1,3,10,0,0,7,4,0,4,6,2,6,0,2,0,0,0,3,2,3,0,3,6,2,0,7,0,8,4,2,3,7,0,2,1,2,3,1,0,2,Estonia,2015
4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,United Kingdom,2015
5,34,0,0,0,1,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,Armenia,2015
6,30,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,2,3,Lithuania,2015
7,53,12,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,5,3,0,3,10,6,0,1,0,1,0,2,0,0,3,0,0,0,0,0,0,Serbia,2015
8,102,0,2,4,0,6,0,0,0,0,2,0,3,10,0,0,0,4,7,4,4,0,2,4,0,4,4,0,5,3,3,0,0,6,5,10,0,0,6,4,0,Norway,2015
9,365,5,10,12,4,8,10,7,8,6,12,8,12,12,12,8,7,10,0,10,12,10,8,7,5,12,10,12,10,10,12,10,8,7,12,12,10,12,8,10,7,Sweden,2015
10,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyprus,2015
11,196,0,6,5,5,2,6,3,4,0,5,3,8,8,4,2,1,5,12,7,0,0,7,12,0,2,8,10,3,8,8,7,4,8,6,8,4,10,0,5,0,Australia,2015
12,217,0,0,7,7,7,8,1,6,0,4,4,7,2,0,12,4,2,10,8,6,6,6,5,1,3,12,3,7,12,5,4,10,5,7,4,7,7,5,7,6,Belgium,2015
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austria,2015
14,23,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,Greece,2015
15,44,0,0,0,0,0,0,6,0,2,0,12,0,0,0,0,8,0,2,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Montenegro,2015
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,2015
17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Poland,2015
18,186,0,4,6,3,5,5,0,2,5,0,1,4,4,7,7,2,12,5,6,7,5,4,1,0,7,5,7,12,2,10,0,2,12,4,7,3,8,2,6,4,Latvia,2015
19,35,0,0,0,0,0,0,0,12,0,0,0,2,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,4,0,0,Romania,2015
20,15,2,0,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,Spain,2015
21,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,Hungary,2015
22,51,0,0,0,2,0,3,0,5,10,0,0,0,0,1,0,10,0,0,0,1,4,0,0,0,0,3,0,6,0,0,0,5,0,0,0,0,0,0,1,0,Georgia,2015
23,49,8,8,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,10,Azerbaijan,2015
24,303,7,7,8,8,10,12,8,10,12,10,10,10,7,10,10,12,8,6,12,10,8,10,8,6,5,6,6,0,6,6,8,0,0,10,3,5,2,10,12,5,Russia,2015
25,34,10,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albania,2015
26,292,6,12,2,12,12,1,12,7,8,8,7,5,6,8,6,6,6,8,3,8,7,12,10,7,8,2,8,1,7,7,12,12,10,0,6,12,5,12,3,8,Italy,2015
