,Contestants,Total score,Jury score,Televoting score,Jury vote,Iceland,Azerbaijan,San Marino,Czech Republic,Ireland,Georgia,Bosnia and Herzegovina,Malta,Spain,Finland,Switzerland,Denmark,France,Moldova,Armenia,Cyprus,Bulgaria,Netherlands,Latvia,Israel,Belarus,Germany,Russia,Norway,Australia,Belgium,United Kingdom,Croatia,Greece,Lithuania,Serbia,Macedonia,Albania,Estonia,Ukraine,Italy,Poland,Slovenia,Hungary,Montenegro,Sweden,Year
0,Belgium,181,130,51,5,3,0,0,2,12,10,0,0,0,0,10,8,0,0,4,0,10,4,0,6,4,5,0,5,12,0,0,0,0,5,0,4,0,0,10,0,0,8,0,3,0,2016
1,Czech Republic,41,41,0,4,5,0,0,0,2,0,6,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,4,0,2,0,3,2016
2,Netherlands,153,114,39,0,12,0,4,7,8,0,0,0,3,10,5,7,7,0,0,0,2,0,3,0,0,4,0,6,3,4,0,0,0,0,5,2,0,6,0,4,0,1,6,0,5,2016
3,Azerbaijan,117,44,73,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,2,0,10,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,7,0,10,2016
4,Hungary,108,52,56,0,0,4,2,10,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,5,3,0,0,0,1,0,2,0,0,3,0,7,0,2016
5,Italy,124,90,34,0,0,0,10,0,6,0,0,8,5,2,2,0,12,0,0,3,0,6,0,0,0,3,0,12,0,10,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,2016
6,Israel,135,124,11,0,0,3,0,0,4,3,0,1,1,7,8,2,0,0,0,5,0,7,2,0,0,12,0,3,10,2,3,7,0,6,7,5,3,0,6,8,7,2,0,0,0,2016
7,Bulgaria,307,127,180,0,0,8,0,0,10,0,3,10,0,0,1,6,10,0,7,0,0,0,1,7,1,0,0,8,8,6,5,0,0,2,4,10,4,0,1,0,3,10,0,2,0,2016
8,Sweden,261,122,139,8,6,0,0,12,5,6,0,0,0,12,0,4,5,6,0,0,0,10,8,0,8,10,0,0,0,0,0,0,0,0,0,0,0,12,4,2,0,0,4,0,0,2016
9,Germany,11,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
10,France,257,148,109,7,2,0,0,5,3,4,7,6,7,1,0,0,0,0,12,7,0,5,0,8,0,0,7,0,6,8,6,8,6,1,0,0,10,1,0,7,1,0,0,5,8,2016
11,Poland,229,7,222,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2016
12,Australia,511,320,191,12,10,7,0,0,0,8,10,3,8,8,12,10,6,10,5,10,8,12,5,10,6,6,2,10,0,12,8,12,7,12,6,8,12,10,5,6,10,6,12,4,12,2016
13,Cyprus,96,43,53,0,0,0,5,0,0,0,0,5,0,0,0,0,0,2,6,0,0,0,0,0,0,0,4,0,0,0,7,1,8,0,0,0,0,4,0,1,0,0,0,0,0,2016
14,Serbia,115,35,80,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,7,0,0,0,0,0,5,0,6,0,2016
15,Lithuania,200,104,96,1,0,5,0,3,0,5,0,0,0,6,7,5,0,4,0,0,1,0,10,1,10,1,0,2,7,0,4,0,0,0,8,0,0,5,12,0,2,0,3,0,2,2016
16,Croatia,73,40,33,6,7,0,0,8,0,2,4,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2016
17,Russia,491,130,361,3,8,12,7,0,0,0,5,4,4,0,0,0,1,7,2,12,6,0,7,0,12,0,0,0,0,0,0,6,12,0,1,0,7,0,0,0,0,0,0,8,6,2016
18,Spain,77,67,10,0,0,1,0,0,0,0,0,2,0,0,0,1,3,8,3,0,4,0,0,4,0,0,0,7,5,0,0,0,0,0,0,0,6,0,0,12,5,0,5,0,1,2016
19,Latvia,132,69,63,0,0,0,0,1,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,2,3,0,0,0,0,0,0,7,0,3,0,8,8,0,6,7,8,0,0,2016
