,Contestants,Total score,Jury score,Televoting score,Sweden,Azerbaijan,San Marino,Latvia,Israel,Montenegro,Albania,Malta,Macedonia,Denmark,Austria,Norway,Spain,Finland,France,Greece,Lithuania,Estonia,Moldova,Armenia,Bulgaria,Iceland,Serbia,Australia,Italy,Germany,Portugal,Switzerland,Netherlands,Ireland,Georgia,Cyprus,Belarus,Romania,Hungary,Slovenia,Belgium,Poland,United Kingdom,Croatia,Czech Republic,Ukraine,Year
0,Israel,39,34,5,0,4,0,0,0,0,0,7,0,0,0,5,0,0,6,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2017
1,Poland,64,23,41,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,2017
2,Belarus,83,50,33,0,12,0,2,1,0,0,2,0,0,7,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,12,2017
3,Austria,93,93,0,4,0,0,6,0,1,0,0,0,7,0,0,3,0,1,0,5,0,2,1,12,0,4,3,1,2,10,0,3,7,5,0,4,1,0,0,3,0,3,1,4,0,2017
4,Armenia,79,58,21,0,0,4,0,0,4,7,1,0,1,0,0,0,0,0,8,3,0,6,0,4,0,5,1,4,0,0,0,0,0,3,0,0,0,2,3,0,2,0,0,0,0,2017
5,Netherlands,150,135,15,3,0,7,0,0,0,0,0,0,5,12,4,1,0,4,0,2,4,0,0,10,0,0,4,0,7,3,7,0,4,1,0,5,12,8,1,0,8,4,8,8,3,2017
6,Moldova,374,110,264,8,10,0,1,3,0,0,0,6,3,0,2,7,3,0,7,0,0,0,8,0,0,7,10,8,0,6,0,0,0,0,0,0,8,0,0,0,0,6,0,3,4,2017
7,Hungary,200,48,152,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,1,1,0,0,4,10,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,8,2017
8,Italy,334,126,208,6,0,3,0,2,8,12,12,0,0,6,7,10,7,10,4,8,0,0,2,0,5,8,0,0,0,0,2,0,0,2,10,0,0,0,2,0,0,0,0,0,0,2017
9,Denmark,77,69,8,5,0,0,0,0,0,0,0,7,0,0,8,0,4,0,0,0,5,0,0,0,3,0,5,0,0,0,0,8,0,0,0,3,5,5,0,0,0,2,3,6,0,2017
10,Portugal,758,382,376,12,8,12,12,12,0,6,10,10,10,8,10,12,8,12,5,12,8,7,12,0,12,12,7,5,10,0,12,12,5,12,8,10,6,12,12,8,12,12,7,12,10,2017
11,Azerbaijan,120,78,42,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,5,0,5,0,0,0,12,0,12,0,0,1,10,1,0,0,4,0,4,1,0,0,0,6,2017
12,Croatia,128,25,103,0,1,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,2017
13,Australia,173,171,2,10,0,0,5,0,0,4,0,8,8,0,3,8,10,2,0,1,7,4,0,0,10,3,0,0,5,5,4,4,0,0,4,7,4,7,7,6,7,10,6,10,2,2017
14,Greece,77,48,29,0,5,0,0,0,12,1,0,0,0,0,0,2,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2017
15,Spain,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
16,Norway,158,129,29,0,0,10,7,5,0,0,0,2,6,3,0,0,1,7,0,10,10,0,5,0,1,0,0,3,12,2,5,7,2,7,0,6,0,6,0,7,3,0,2,0,0,2017
17,United Kingdom,111,99,12,0,0,6,4,0,0,8,0,3,0,1,1,0,2,3,1,0,6,0,4,0,7,0,12,0,6,0,0,5,0,0,5,0,0,3,10,2,5,0,0,5,0,2017
18,Cyprus,68,36,32,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,7,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,2017
19,Romania,282,58,224,0,3,0,3,0,10,3,5,4,0,0,0,0,0,0,6,0,0,12,0,3,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,2017
20,Germany,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2017
21,Ukraine,36,12,24,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
22,Belgium,363,108,255,1,0,8,10,8,6,0,0,0,2,2,0,4,0,0,0,4,2,0,0,0,2,0,0,7,0,8,6,2,12,0,3,0,0,0,5,0,10,5,0,0,1,2017
23,Sweden,344,218,126,0,0,0,0,10,7,0,0,1,12,4,6,5,12,8,0,6,3,8,6,0,8,2,6,10,4,7,10,6,6,8,6,8,7,1,6,12,4,8,4,7,0,2017
24,Bulgaria,615,278,337,7,2,2,8,7,2,10,8,12,4,10,12,6,6,5,2,7,12,10,0,0,6,6,8,2,8,0,8,10,10,6,7,12,10,10,8,10,6,7,10,2,0,2017
25,France,135,45,90,0,0,0,0,6,3,5,4,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,5,2017
