,Contestants,Total score,Jury score,Televoting score,Portugal,Azerbaijan,Malta,North Macedonia,San Marino,Netherlands,Montenegro,Estonia,Poland,Norway,Spain,Austria,United Kingdom,Italy,Albania,Hungary,Moldova,Ireland,Belarus,Armenia,Romania,Cyprus,Australia,Russia,Germany,Belgium,Sweden,Croatia,Lithuania,Serbia,Iceland,Georgia,Greece,Latvia,Czech Republic,Denmark,France,Finland,Switzerland,Slovenia,Israel,Year
0,Malta,107,87,20,0,10,0,5,0,8,6,0,4,0,0,0,0,8,0,0,1,0,12,4,0,3,0,6,3,0,2,0,0,0,0,0,5,1,3,0,0,1,0,1,4,2019
1,Albania,90,43,47,0,7,2,8,7,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019
2,Czech Republic,157,150,7,10,0,0,0,0,4,1,8,0,12,6,3,1,4,0,12,8,0,0,3,8,0,5,0,0,5,1,7,7,4,6,12,0,3,0,0,3,4,0,12,1,2019
3,Germany,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,6,0,0,2019
4,Russia,370,126,244,0,12,10,6,10,5,10,6,0,0,2,0,4,0,1,0,5,3,1,5,6,10,4,0,0,0,3,2,1,0,0,0,10,4,0,3,0,0,3,0,0,2019
5,Denmark,120,69,51,0,0,0,0,0,7,3,2,5,4,0,0,3,12,0,6,4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,7,0,7,0,0,1,0,0,4,0,2019
6,San Marino,77,12,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2019
7,North Macedonia,305,247,58,5,8,3,0,1,3,7,0,8,10,0,12,12,10,12,10,12,5,10,10,7,0,7,4,7,0,0,10,0,12,8,0,1,8,7,10,7,7,12,2,0,2019
8,Sweden,334,241,93,2,0,5,0,0,12,0,12,0,8,12,6,10,2,6,4,2,12,2,12,1,7,12,0,2,0,0,5,8,8,12,2,0,10,12,12,10,12,8,7,6,2019
9,Slovenia,105,46,59,3,4,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,10,0,0,6,0,0,0,2019
10,Cyprus,109,77,32,0,3,6,1,5,1,5,0,0,1,5,0,0,0,7,0,0,0,8,0,0,0,0,8,0,2,7,0,0,0,0,6,12,0,0,0,0,0,0,0,0,2019
11,Netherlands,498,237,261,12,0,7,7,3,0,0,7,0,7,8,8,6,0,0,1,3,8,6,6,5,5,6,0,8,6,12,6,12,0,7,8,0,12,6,7,12,8,10,6,12,2019
12,Greece,74,50,24,0,6,4,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,12,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
13,Israel,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
14,Norway,331,40,291,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,6,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,5,0,0,7,0,0,2019
15,United Kingdom,11,8,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2019
16,Iceland,232,46,186,0,0,0,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,10,0,0,6,0,0,0,0,0,4,0,5,0,0,0,0,2019
17,Estonia,76,28,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,5,1,2,0,0,0,0,8,2019
18,Belarus,31,18,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
19,Azerbaijan,302,202,100,8,0,8,4,4,0,0,5,2,5,7,4,7,7,8,5,6,7,5,0,10,6,2,12,0,0,5,0,10,3,4,10,8,6,5,4,6,2,0,10,7,2019
20,France,105,67,38,0,0,0,0,0,0,0,3,6,0,0,5,2,3,3,0,0,0,0,0,0,4,10,0,4,8,0,3,0,1,1,5,0,0,2,0,0,0,2,3,2,2019
21,Italy,472,219,253,6,5,12,12,12,6,2,0,0,3,4,7,0,0,5,7,0,1,7,8,0,8,0,0,12,12,8,12,3,10,3,0,7,2,8,1,8,5,5,8,10,2019
22,Serbia,89,35,54,0,0,0,0,0,0,12,4,7,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2019
23,Switzerland,364,152,212,1,0,0,3,2,10,0,10,0,6,3,10,5,0,10,3,0,10,4,7,4,1,0,0,6,7,10,8,0,5,5,3,0,0,0,6,2,3,0,5,3,2019
24,Australia,284,153,131,7,2,0,10,0,2,4,0,12,0,10,0,8,6,2,0,10,4,0,0,12,0,0,0,10,4,6,0,2,7,10,0,2,0,0,0,4,10,4,0,5,2019
25,Spain,54,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
