,Contestants,Total score,Jury score,Televoting score,Israel,Poland,San Marino,Albania,Malta,Estonia,North Macedonia,Azerbaijan,Norway,Spain,Austria,United Kingdom,Italy,Slovenia,Greece,Latvia,Ireland,Moldova,Serbia,Bulgaria,Cyprus,Belgium,Germany,Australia,Finland,Portugal,Ukraine,Iceland,Romania,Croatia,Czech Republic,Georgia,Lithuania,Denmark,Russia,France,Sweden,Switzerland,Netherlands,Year
0,Cyprus,94,50,44,3,0,0,7,4,0,2,0,0,6,0,0,0,0,12,0,0,1,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2021
1,Albania,57,22,35,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2021
2,Israel,93,73,20,0,6,0,0,0,0,8,0,8,3,0,6,4,1,0,0,0,0,2,3,0,0,0,0,0,0,7,0,0,5,0,0,1,1,5,5,4,0,4,2021
3,Belgium,74,71,3,6,3,0,0,0,0,0,3,0,0,0,1,5,6,3,0,3,0,0,0,4,0,0,0,0,5,6,0,0,0,3,0,7,0,3,6,1,0,6,2021
4,Russia,204,104,100,7,1,0,0,0,0,1,12,0,0,0,0,0,8,2,1,0,10,0,0,6,7,2,1,4,10,0,2,0,4,2,0,0,0,0,10,3,3,8,2021
5,Malta,255,208,47,5,4,7,8,0,1,5,7,12,8,4,0,7,5,6,2,10,7,0,5,10,5,8,12,1,4,5,1,12,3,7,1,3,4,4,0,12,6,7,2021
6,Portugal,153,126,27,0,8,0,0,7,5,0,2,0,5,7,7,6,0,0,0,0,2,5,6,1,1,0,0,0,0,2,10,10,1,12,8,6,0,0,8,0,7,0,2021
7,Serbia,102,20,82,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2021
8,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9,Greece,170,91,79,0,0,8,6,6,0,0,10,1,1,0,0,0,3,0,0,0,8,3,8,12,0,0,0,2,0,0,4,0,0,0,0,0,0,7,12,0,0,0,2021
10,Switzerland,432,267,165,12,7,4,12,10,12,6,0,7,10,10,8,0,7,0,12,5,3,1,0,2,12,10,10,12,7,8,12,7,8,5,10,8,12,1,7,5,0,5,2021
11,Iceland,378,198,180,0,10,0,0,0,8,4,0,2,7,12,10,8,10,0,10,8,5,7,0,0,3,3,8,8,8,4,0,0,10,8,6,4,10,0,3,7,5,10,2021
12,Spain,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
13,Moldova,115,53,62,0,0,5,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,2021
14,Germany,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2021
15,Finland,301,83,218,0,2,1,3,2,7,0,0,0,0,1,4,10,4,0,4,0,0,10,1,3,8,0,0,0,0,0,5,8,0,1,0,0,8,0,0,0,1,0,2021
16,Bulgaria,170,140,30,1,0,3,0,0,6,0,1,6,4,5,5,0,0,8,5,1,12,6,0,5,6,0,2,10,12,0,8,2,0,4,4,2,6,6,0,0,10,0,2021
17,Lithuania,220,55,165,10,0,6,0,0,2,0,0,0,2,0,0,12,0,0,6,4,0,0,0,0,0,1,0,3,0,0,0,0,2,0,3,0,0,0,0,0,4,0,2021
18,Ukraine,364,97,267,4,0,0,0,5,4,0,6,3,0,0,0,1,0,1,7,6,0,0,0,0,10,5,5,0,2,0,3,5,0,0,7,12,0,0,0,8,0,3,2021
19,France,499,248,251,8,0,12,10,3,10,7,4,4,12,8,12,3,2,5,3,12,4,12,7,7,0,12,7,7,6,10,6,4,6,10,0,5,0,0,0,6,12,12,2021
20,Azerbaijan,65,32,33,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,8,0,0,2,2,2021
21,Norway,75,15,60,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,2021
22,Netherlands,11,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2021
23,Italy,524,206,318,0,5,10,4,0,3,10,0,5,0,6,0,0,12,4,8,0,0,8,10,8,2,6,6,6,3,12,7,3,12,6,12,10,0,10,0,10,8,0,2021
24,Sweden,109,46,63,0,0,0,0,8,0,3,5,10,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2021
25,San Marino,50,37,13,0,12,0,5,1,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,2021
