,Contestants,Total score,Jury score,Televoting score,Sweden,Azerbaijan,San Marino,Latvia,Israel,Montenegro,Albania,Malta,Macedonia,Denmark,Austria,Norway,Spain,Finland,France,Greece,Lithuania,Estonia,Moldova,Armenia,Bulgaria,Iceland,Serbia,Australia,Italy,Germany,Portugal,Switzerland,Netherlands,Ireland,Georgia,Cyprus,Belarus,Romania,Hungary,Slovenia,Belgium,Poland,United Kingdom,Croatia,Czech Republic,Ukraine,Year
0,Israel,39,34,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
1,Poland,64,23,41,5,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,3,0,0,3,2,0,0,1,7,0,0,0,0,0,0,4,0,10,0,0,0,2017
2,Belarus,83,50,33,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,3,8,2017
3,Austria,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
4,Armenia,79,58,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,2,0,2017
5,Netherlands,150,135,15,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2017
6,Moldova,374,110,264,8,10,8,8,5,3,0,1,2,8,3,6,6,5,7,6,8,4,0,6,10,6,7,12,12,7,12,0,5,8,0,6,10,12,10,3,7,6,6,4,5,12,2017
7,Hungary,200,48,152,4,7,4,2,1,7,6,2,3,3,5,4,0,4,2,0,2,8,0,0,6,2,12,0,4,3,2,5,6,2,0,0,8,10,0,5,1,5,1,12,0,4,2017
8,Italy,334,126,208,1,6,10,3,8,10,12,12,8,0,6,2,8,8,5,7,5,5,4,4,0,7,6,2,0,4,4,10,2,1,5,8,0,6,4,10,5,0,2,7,1,0,2017
9,Denmark,77,69,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
10,Portugal,758,382,376,10,8,7,10,12,8,8,8,7,5,12,12,12,12,12,8,12,10,6,10,7,12,8,7,5,12,0,12,12,10,8,7,7,7,7,8,12,10,8,10,8,10,2017
11,Azerbaijan,120,78,42,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,10,0,2017
12,Croatia,128,25,103,2,0,3,0,0,12,7,3,10,0,4,1,0,0,0,0,0,0,0,0,1,0,5,1,6,8,0,8,3,3,0,0,0,3,5,12,0,1,5,0,0,0,2017
13,Australia,173,171,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
