,Contestants,Total score,Jury score,Televoting score,Ukraine,Azerbaijan,Belarus,San Marino,Netherlands,Macedonia,Malta,Georgia,Spain,Austria,Denmark,United Kingdom,Sweden,Latvia,Albania,Croatia,Ireland,Romania,Czech Republic,Iceland,Moldova,Belgium,Norway,France,Italy,Australia,Estonia,Serbia,Cyprus,Armenia,Bulgaria,Greece,Hungary,Montenegro,Germany,Finland,Russia,Switzerland,Israel,Poland,Lithuania,Slovenia,Portugal,Year
0,Ukraine,130,11,119,0,8,12,5,0,4,0,8,0,0,0,0,0,3,0,0,0,0,12,0,10,0,0,4,8,0,0,0,2,4,1,0,0,7,0,0,8,0,7,12,0,0,4,2018
1,Spain,61,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2018
2,Slovenia,64,41,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2018
3,Lithuania,181,90,91,2,0,0,0,0,0,5,7,0,0,0,12,7,12,0,0,12,0,0,0,0,0,12,0,0,0,12,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2018
4,Austria,342,271,71,0,0,0,0,3,0,0,1,0,0,10,0,2,0,2,0,0,0,0,5,0,3,8,0,0,0,6,0,0,6,4,0,3,0,5,3,0,4,1,0,3,2,0,2018
5,Estonia,245,143,102,3,0,0,0,0,0,0,6,2,0,0,0,0,10,4,0,4,0,5,0,1,0,0,7,6,0,0,0,4,2,2,4,0,0,0,12,3,0,8,0,12,0,7,2018
6,Norway,144,60,84,0,7,10,0,1,0,0,0,3,0,8,0,8,2,0,0,0,0,0,4,5,0,0,0,0,1,2,3,5,7,0,3,5,0,0,0,5,0,0,0,0,5,0,2018
7,Portugal,39,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2018
8,United Kingdom,48,23,25,0,0,0,1,0,0,1,0,0,0,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
9,Serbia,113,38,75,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,12,0,0,0,12,0,0,0,12,0,2018
10,Germany,340,204,136,0,3,0,4,12,0,4,0,6,6,12,3,5,0,8,3,8,4,3,8,4,2,6,0,3,2,0,0,3,0,0,2,1,0,0,0,0,6,3,1,2,4,8,2018
11,Albania,184,126,58,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,0,10,0,0,0,7,0,0,0,1,0,2018
12,France,173,114,59,7,0,0,0,0,0,0,4,4,0,0,0,0,0,5,0,0,0,0,6,0,8,1,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,6,3,5,0,0,2018
13,Czech Republic,281,66,215,10,6,5,10,6,5,3,0,10,12,6,5,3,4,0,5,7,3,0,10,6,1,4,0,0,3,5,5,8,8,3,7,8,0,8,5,2,0,12,4,8,8,0,2018
14,Denmark,226,38,188,8,0,7,6,8,0,2,2,0,5,0,2,12,5,0,2,2,2,7,12,0,5,10,2,4,10,8,4,0,0,0,0,12,0,3,10,7,2,4,6,10,7,2,2018
15,Australia,99,90,9,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
16,Finland,46,23,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
17,Bulgaria,166,100,66,0,1,1,0,0,7,7,0,5,0,0,6,0,0,6,1,0,5,1,0,3,0,0,0,0,0,0,2,12,0,0,5,0,4,0,0,0,0,0,0,0,0,0,2018
18,Moldova,209,94,115,6,4,6,2,0,1,0,3,0,0,0,4,0,7,0,0,1,12,6,0,0,0,0,6,10,5,1,1,0,1,8,1,2,0,0,0,12,0,10,0,0,0,6,2018
19,Sweden,274,253,21,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,2018
20,Hungary,93,28,65,1,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,3,12,0,0,5,0,0,3,2,8,0,0,0,7,0,3,0,2018
21,Israel,529,212,317,12,12,8,12,10,3,8,12,12,7,0,7,10,8,1,6,6,8,10,7,12,10,7,12,7,12,0,7,10,10,10,6,10,1,10,7,10,5,0,10,1,0,1,2018
22,Netherlands,121,89,32,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2018
23,Ireland,136,74,62,0,0,0,3,4,0,0,0,1,4,4,10,0,0,7,0,0,1,4,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,3,2018
24,Cyprus,436,183,253,4,10,3,7,5,8,10,10,8,1,1,8,4,1,10,8,5,7,8,1,7,7,2,3,5,7,4,10,0,12,12,12,7,5,6,1,4,3,2,8,6,6,5,2018
25,Italy,308,59,249,5,5,4,8,7,6,12,5,7,10,0,0,0,6,12,10,0,6,2,0,8,6,0,10,0,0,7,6,7,3,6,8,6,8,12,6,6,8,5,5,7,10,10,2018
