,Contestants,Total score,Jury score,Televoting score,Portugal,Azerbaijan,Malta,North Macedonia,San Marino,Netherlands,Montenegro,Estonia,Poland,Norway,Spain,Austria,United Kingdom,Italy,Albania,Hungary,Moldova,Ireland,Belarus,Armenia,Romania,Cyprus,Australia,Russia,Germany,Belgium,Sweden,Croatia,Lithuania,Serbia,Iceland,Georgia,Greece,Latvia,Czech Republic,Denmark,France,Finland,Switzerland,Slovenia,Israel,Year
0,Malta,107,87,20,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,Albania,90,43,47,0,0,0,12,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,10,0,0,2019
2,Czech Republic,157,150,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2019
3,Germany,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,Russia,370,126,244,10,12,4,0,12,0,10,12,3,1,2,5,0,8,12,7,12,5,12,12,7,10,0,0,8,1,0,0,12,8,0,8,8,12,12,0,3,4,0,0,12,2019
5,Denmark,120,69,51,1,0,0,0,0,5,0,6,0,5,0,0,6,4,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,4,0,0,0,0,0,4,0,1,3,1,2019
6,San Marino,77,12,65,0,10,0,8,0,0,8,0,0,0,0,0,0,0,10,6,8,0,1,0,0,0,0,0,0,0,0,2,0,1,1,10,0,0,0,0,0,0,0,0,0,2019
7,North Macedonia,305,247,58,0,3,5,0,0,1,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,7,0,12,0,2,0,0,0,0,0,0,2,12,0,2019
8,Sweden,334,241,93,0,0,6,0,0,8,0,3,0,12,6,0,5,0,0,0,0,2,0,2,0,0,8,0,1,2,0,0,3,0,8,6,0,0,0,10,0,7,4,0,0,2019
9,Slovenia,105,46,59,0,0,0,2,0,0,4,7,4,0,0,2,0,0,0,3,0,0,5,0,0,0,0,6,3,0,0,10,0,10,0,0,0,2,0,0,0,1,0,0,0,2019
10,Cyprus,109,77,32,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,2019
11,Netherlands,498,237,261,8,7,10,7,6,0,1,8,10,8,8,7,4,5,7,8,6,8,10,10,12,6,6,5,7,12,6,4,7,3,5,5,6,5,4,7,5,5,6,5,2,2019
12,Greece,74,50,24,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
13,Israel,35,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,5,0,0,0,0,0,0,0,0,0,4,0,0,3,0,12,0,0,0,0,2019
14,Norway,331,40,291,6,1,7,5,3,12,0,10,8,0,7,8,12,10,5,10,3,12,8,5,4,1,12,10,12,7,12,5,8,4,12,0,0,8,10,12,8,10,8,6,10,2019
15,United Kingdom,11,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
16,Iceland,232,46,186,3,0,1,0,2,7,2,5,12,10,3,6,8,7,0,12,1,6,7,3,5,0,10,7,2,3,8,3,6,5,0,3,2,7,6,4,1,12,0,7,0,2019
17,Estonia,76,28,48,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,4,0,3,0,0,10,1,8,0,8,0,1,0,2019
18,Belarus,31,18,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
19,Azerbaijan,302,202,100,0,0,2,1,4,4,3,1,2,3,1,1,3,1,3,2,10,0,6,0,6,0,1,12,0,0,3,0,5,0,0,7,0,4,7,5,0,0,0,0,3,2019
20,France,105,67,38,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,4,1,3,3,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,2019
21,Italy,472,219,253,7,6,12,3,8,10,5,0,7,7,12,10,0,0,8,4,5,4,3,7,8,8,5,1,6,8,4,12,10,7,6,1,10,3,2,3,10,3,12,8,8,2019
22,Serbia,89,35,54,0,0,0,10,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,10,0,2019
23,Switzerland,364,152,212,5,8,8,4,5,6,0,4,5,6,10,12,7,3,4,5,4,7,4,8,10,7,7,2,10,5,1,6,2,6,7,0,7,1,5,6,2,2,0,4,7,2019
24,Australia,284,153,131,4,0,3,0,0,2,0,2,6,4,5,3,10,6,1,0,0,10,2,1,2,2,0,4,5,4,5,0,1,0,10,0,3,6,8,2,6,6,0,2,6,2019
25,Spain,54,1,53,12,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,2,0,0,4,0,0,1,7,0,5,0,5,2019
