,Contestants,Total score,Jury score,Televoting score,Israel,Poland,San Marino,Albania,Malta,Estonia,North Macedonia,Azerbaijan,Norway,Spain,Austria,United Kingdom,Italy,Slovenia,Greece,Latvia,Ireland,Moldova,Serbia,Bulgaria,Cyprus,Belgium,Germany,Australia,Finland,Portugal,Ukraine,Iceland,Romania,Croatia,Czech Republic,Georgia,Lithuania,Denmark,Russia,France,Sweden,Switzerland,Netherlands,Year
0,Cyprus,94,50,44,0,0,8,2,2,0,6,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2021
1,Albania,57,22,35,0,0,0,0,0,0,10,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,2021
2,Israel,93,73,20,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,2021
3,Belgium,74,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2021
4,Russia,204,104,100,10,2,1,0,0,6,1,6,0,0,0,0,7,1,1,10,0,12,6,7,3,0,5,0,1,1,4,0,0,3,5,4,4,0,0,0,0,0,0,2021
5,Malta,255,208,47,5,0,0,0,0,0,0,0,3,3,2,6,0,0,3,0,4,0,0,0,1,2,0,8,0,0,0,3,2,0,0,0,0,2,0,0,2,0,1,2021
6,Portugal,153,126,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,8,6,2021
7,Serbia,102,20,82,0,0,0,0,4,0,12,0,0,0,12,0,4,12,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,12,0,0,0,0,0,3,1,12,0,2021
8,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
9,Greece,170,91,79,0,0,7,8,0,0,0,0,0,0,0,0,0,8,0,0,0,7,3,2,12,0,0,0,0,2,0,0,0,0,8,12,0,0,0,0,0,0,10,2021
10,Switzerland,432,267,165,6,7,3,12,0,2,7,4,2,7,5,1,0,5,4,4,3,4,1,3,0,4,2,5,7,6,7,6,5,5,3,0,6,6,5,6,5,0,7,2021
11,Iceland,378,198,180,1,8,0,0,5,3,0,0,10,5,10,10,6,3,0,5,10,0,5,0,0,5,6,12,12,3,6,0,0,4,7,1,3,12,1,4,10,5,8,2021
12,Spain,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
13,Moldova,115,53,62,0,0,6,7,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,12,0,12,2,0,0,3,7,0,0,0,2021
14,Germany,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
15,Finland,301,83,218,4,6,4,3,7,12,2,5,6,2,4,7,8,4,6,8,5,5,7,8,4,6,8,3,0,5,8,12,6,6,4,0,7,7,8,1,12,4,4,2021
16,Bulgaria,170,140,30,0,0,2,5,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
17,Lithuania,220,55,165,3,4,0,0,6,10,0,0,12,4,3,12,5,0,0,12,12,2,0,0,5,7,12,6,5,0,10,4,3,0,1,10,0,4,2,0,7,1,3,2021
18,Ukraine,364,97,267,12,12,5,4,1,5,4,8,5,6,7,4,12,7,5,6,8,10,8,6,6,10,4,10,10,10,0,8,7,8,10,6,12,1,7,12,4,2,5,2021
19,France,499,248,251,8,5,10,6,3,7,5,2,4,12,6,5,1,6,8,3,7,6,10,10,8,12,10,4,6,12,5,7,8,7,2,5,8,3,6,0,6,6,12,2021
20,Azerbaijan,65,32,33,2,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,4,4,0,0,0,0,0,0,3,0,4,2,0,3,0,0,4,0,0,0,0,2021
21,Norway,75,15,60,0,3,0,0,10,4,0,7,0,0,1,2,0,2,0,2,0,0,0,0,0,1,1,1,4,0,0,1,0,0,0,0,5,8,0,0,8,0,0,2021
22,Netherlands,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
23,Italy,524,206,318,7,10,12,10,12,8,8,10,7,10,8,3,0,10,10,7,6,8,12,12,10,8,7,7,8,7,12,5,10,10,6,8,10,5,10,10,3,10,2,2021
24,Sweden,109,46,63,0,1,0,1,8,1,0,0,8,0,0,0,0,0,0,1,1,3,0,1,0,3,0,0,3,4,2,10,0,0,0,0,1,10,0,2,0,3,0,2021
25,San Marino,50,37,13,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2021
