,Contestants,Total score,Jury score,Televoting score,Netherlands,San Marino,North Macedonia,Malta,Ukraine,Albania,Estonia,Azerbaijan,Portugal,Germany,Belgium,Norway,Israel,Poland,Greece,Moldova,Bulgaria,Serbia,Iceland,Cyprus,Latvia,Spain,Switzerland,Denmark,France,Armenia,Montenegro,Romania,Ireland,Slovenia,Georgia,Croatia,Lithuania,Austria,Finland,United Kingdom,Sweden,Australia,Czech Republic,Italy,Year
0,Czech Republic,38,33,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
1,Romania,65,12,53,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,10,4,5,0,4,0,10,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,8,2022
2,Portugal,207,171,36,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,7,0,6,4,5,0,0,0,0,0,7,0,0,0,0,0,0,1,2022
3,Finland,38,12,26,0,0,0,1,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,1,0,2022
4,Switzerland,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
5,France,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2022
6,Norway,182,36,146,5,2,2,4,2,0,4,7,2,1,0,0,4,4,6,6,1,8,10,0,5,3,0,8,0,0,2,2,4,3,0,5,2,5,6,6,10,10,3,4,2022
7,Armenia,61,40,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2022
8,Italy,268,158,110,0,5,6,10,0,8,0,5,3,3,4,0,3,0,7,0,2,4,0,5,0,5,8,0,3,0,6,4,0,6,0,6,3,3,0,0,0,1,0,0,2022
9,Spain,459,231,228,7,10,10,7,1,7,1,10,10,2,6,1,8,6,12,8,8,10,3,8,4,0,6,1,7,8,8,8,5,4,6,7,6,1,3,5,2,6,6,0,2022
10,Netherlands,171,129,42,0,0,0,0,3,6,3,0,4,4,10,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,2022
11,Ukraine,631,192,439,12,12,8,8,0,10,12,12,12,12,12,12,12,12,10,12,12,7,12,12,12,12,10,12,12,10,10,10,12,10,12,10,12,12,12,12,12,12,12,12,2022
12,Germany,6,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2022
13,Lithuania,128,35,93,0,0,1,0,10,0,7,0,1,0,0,10,0,2,0,4,0,3,2,2,10,0,0,7,0,2,0,0,8,2,5,3,0,0,2,7,3,2,0,0,2022
14,Azerbaijan,106,103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2022
15,Belgium,64,59,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
16,Greece,215,158,57,0,7,0,0,0,12,0,3,0,0,0,7,0,0,0,0,6,0,0,10,0,0,0,0,0,3,0,0,0,8,1,0,0,0,0,0,0,0,0,0,2022
17,Iceland,20,10,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
18,Moldova,253,14,239,10,4,7,0,6,1,6,0,8,10,8,4,6,7,3,0,7,12,6,0,7,7,4,5,10,5,7,12,7,7,8,8,5,7,5,8,0,4,8,10,2022
19,Sweden,438,258,180,2,3,4,5,0,0,10,4,7,5,5,8,5,10,4,5,0,1,8,0,6,6,3,10,0,7,1,6,3,5,0,4,10,6,8,4,0,5,5,5,2022
20,Australia,125,123,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
21,United Kingdom,466,283,183,8,6,0,12,7,4,5,8,6,6,3,6,10,3,5,3,3,0,7,6,3,8,5,6,2,1,0,3,6,0,4,0,4,8,4,0,6,7,2,6,2022
22,Poland,151,46,105,6,0,0,2,12,0,0,1,0,8,7,5,1,0,0,0,0,0,4,3,0,1,1,4,4,0,4,0,10,0,0,0,0,4,0,10,5,3,7,3,2022
23,Serbia,312,87,225,3,8,12,6,0,3,0,6,5,7,2,3,7,5,8,0,10,0,1,7,2,2,12,0,8,6,12,7,1,12,7,12,0,10,7,1,8,8,10,7,2022
24,Estonia,141,43,98,1,0,3,0,5,5,0,0,0,0,0,2,0,8,0,7,0,6,0,0,8,0,0,3,0,12,3,5,0,0,0,2,8,0,10,2,4,0,4,0,2022
