year,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,liveness,speechiness,backing_dancers,backing_singers,backing_instruments,instrument_10,final_televote_points,final_jury_points,final_place,semi_place,favourite_10,host_10
2022,1,0,Albania,Ronela Hajati,Sekret,"Albanian, English",Pop,Female,1,F Minor,100,70,76,45,-6,5,52,5,5,0,0,0,0,0,0,12,0,0
2022,2,0,Latvia,Citi Zeni,Eat Your Salad,English,Pop,Male,1,B Minor,115,69,75,59,-8,1,34,17,0,0,4,0,0,0,0,14,0,0
2022,3,14,Lithuania,Monika Liu,Sentimentai,Lithuanian,Ballad,Female,1,C Major,93,56,68,50,-8,9,31,3,0,0,0,0,93,35,14,7,0,0
2022,4,5,Switzerland,Marius Bear,Boys Do Cry,English,Ballad,Male,1,F Major,116,18,42,39,-11,87,11,4,0,0,0,0,0,78,17,9,0,0
2022,5,0,Slovenia,LPS,Disko,Slovene,Pop,Male,1,E Minor,120,61,68,60,-6,0,5,3,0,0,4,0,0,0,0,17,0,0
2022,6,12,Ukraine,Kalush Orchestra,Stefania,Ukrainian,Traditional,Male,1,D Major,105,82,83,32,-5,14,12,4,1,2,2,0,439,192,1,1,1,0
2022,7,0,Bulgaria,Intelligent Music Project,Intention,English,Rock,Male,1,D Major,80,84,52,72,-8,3,24,3,0,0,5,0,0,0,0,16,0,0
2022,8,11,Netherlands,S10,De diepte,Dutch,Ballad,Female,1,D Minor,87,48,32,15,-6,39,14,3,0,0,0,0,42,129,11,2,0,0
2022,9,19,Moldova,Zdob si Zdub and Advahov Brothers,Trenuletul,"Romanian, English",Traditional,Male,1,C Major,142,88,70,96,-3,41,32,14,0,0,5,0,239,14,7,8,0,0
2022,10,3,Portugal,Maro,"Saudade, saudade","English, Portuguese",Ballad,Female,6,Bb Minor,83,34,64,38,-11,68,11,4,0,0,0,0,36,171,9,4,0,0
2022,11,0,Croatia,Mia Dimsic,Guilty Pleasure,"English, Croatian",Ballad,Female,1,F Major,84,59,53,51,-7,12,14,6,3,0,0,1,0,0,0,11,0,0
2022,12,0,Denmark,Reddi,The Show,English,Rock,Female,1,C Major,90,80,31,21,-5,2,37,6,0,0,3,1,0,0,0,13,0,0
2022,13,0,Austria,Lumix feat. Pia Maria,Halo,English,Dance,Female,1,Ab Major,150,91,57,69,-5,0,53,4,0,0,0,1,0,0,0,15,0,0
2022,14,18,Iceland,Systur,Meo aekkandi sol,Icelandic,Traditional,Female,3,D Minor,100,52,58,35,-12,58,7,3,0,0,1,1,10,10,23,10,0,0
2022,15,17,Greece,Amanda Georgiadi Tenfjord,Die Together,English,Ballad,Female,1,F Major,150,37,48,20,-8,12,13,7,0,0,0,0,57,158,8,3,0,0
2022,16,7,Norway,Subwoolfer,Give That Wolf a Banana,English,Pop,Male,2,G Minor,124,53,74,55,-10,20,9,4,4,0,0,0,146,36,10,6,0,0
2022,17,8,Armenia,Rosa Linn,Snap,English,Ballad,Female,1,C Major,170,64,56,53,-8,11,45,6,0,0,0,1,21,40,20,5,0,0
2022,1,4,Finland,The Rasmus,Jezebel,English,Rock,Male,1,B Minor,116,87,50,49,-4,0,8,4,0,0,3,0,26,12,21,7,0,0
2022,2,0,Israel,Michael Ben David,I.M,English,Pop,Male,1,Ab Minor,120,82,70,45,-7,1,13,6,4,0,0,0,0,0,0,13,0,0
2022,3,24,Serbia,Konstrakta,In corpore sano,"Serbian, Latin",Traditional,Female,1,C Major,136,71,92,63,-7,1,17,8,5,0,0,0,225,87,5,3,0,0
2022,4,15,Azerbaijan,Nadir Rustamli,Fade to Black,English,Ballad,Male,1,A Minor,79,30,34,30,-10,19,14,6,1,0,0,0,3,103,16,10,0,0
2022,5,0,Georgia,Circus Mircus,Lock Me In,English,Rock,Male,1,D Major,107,76,79,84,-9,0,30,4,0,0,3,1,0,0,0,18,0,0
2022,6,0,Malta,Emma Muscat,I Am What I Am,English,Pop,Female,1,G Major,98,71,56,38,-5,4,9,3,4,0,0,1,0,0,0,16,0,0
2022,7,0,San Marino,Achille Lauro,Stripper,"Italian, English",Rock,Male,1,A Major,140,80,60,55,-6,0,8,10,0,0,5,0,0,0,0,14,0,0
2022,8,21,Australia,Sheldon Riley,Not the Same,English,Ballad,Male,1,Bb Minor,128,43,36,38,-10,66,14,4,0,0,0,0,2,123,15,2,0,0
2022,9,0,Cyprus,Andromache,Ela,"English, Greek",Pop,Female,1,Eb Minor,98,63,66,65,-7,24,6,9,2,0,0,0,0,0,0,12,0,0
2022,10,0,Ireland,Brooke,That's Rich,English,Pop,Female,1,A Major,122,60,68,56,-4,0,34,3,4,0,0,0,0,0,0,15,0,0
2022,11,0,North Macedonia,Andrea,Circles,English,Ballad,Female,1,Cs Minor,144,71,54,22,-5,48,17,3,0,0,0,0,0,0,0,11,0,0
2022,12,25,Estonia,Stefan,Hope,English,Pop,Male,1,Bb Minor,123,78,52,55,-5,19,10,4,0,0,0,1,98,43,13,5,0,0
2022,13,2,Romania,WRS,Llamame,"English, Spanish",Pop,Male,1,F Minor,120,76,76,66,-6,6,15,13,4,0,0,0,53,12,18,9,0,0
