Total score,France,Italy,Germany,Netherlands,Switzerland,Monaco,Austria,Norway,Belgium,Denmark,Luxembourg,Sweden,United Kingdom,Country,Year
25,,2,1,5,4,1,3,2,1,,5,1,,United Kingdom,1960
4,2,1,,1,,,,,,,,,,Sweden,1960
1,,1,,,,,,,,,,,,Luxembourg,1960
4,,,,,,,,2,,,1,,1,Denmark,1960
9,,3,1,,,,1,,,,,4,,Belgium,1960
11,1,,,1,4,,1,,1,2,,,1,Norway,1960
6,,1,,,,,,,1,2,,,2,Austria,1960
15,3,,7,,1,,,,,2,1,,1,Monaco,1960
5,,1,,,,,2,1,,,1,,,Switzerland,1960
2,,1,,,,,,,1,,,,,Netherlands,1960
11,4,,,,,2,2,,2,,,1,,Germany,1960
5,,,,1,,2,,,1,,1,,,Italy,1960
32,,,1,2,1,5,1,5,3,4,1,4,5,France,1960
