Total score,Italy,United Kingdom,Luxembourg,Denmark,Norway,Belgium,Switzerland,France,Germany,Sweden,Netherlands,Yugoslavia,Finland,Austria,Monaco,Spain,Country,Year
8,,1,,,2,,,2,,1,1,,,,1,,Spain,1961
6,,1,,,,,1,,,,,,3,,,1,Monaco,1961
1,,1,,,,,,,,,,,,,,,Austria,1961
6,2,2,,1,,,,1,,,,,,,,,Finland,1961
9,,1,,1,,,1,2,,,1,,,3,,,Yugoslavia,1961
6,2,,,,,,,1,1,,,2,,,,,Netherlands,1961
2,,,,,,,,2,,,,,,,,,Sweden,1961
3,,,,1,,,,,,1,,,,1,,,Germany,1961
13,,2,1,,,,,,4,1,,,1,,2,2,France,1961
16,2,2,,,,,,,,4,2,1,,2,2,1,Switzerland,1961
1,,,1,,,,,,,,,,,,,,Belgium,1961
10,,,,1,,5,,,,,,1,2,,,1,Norway,1961
12,,,,,8,,,,,2,1,,1,,,,Denmark,1961
31,3,,,1,,,1,1,5,1,1,5,3,4,4,2,Luxembourg,1961
24,1,,8,1,,1,7,,,,3,,,,,3,United Kingdom,1961
12,,,,4,,4,,1,,,1,1,,,1,,Italy,1961
