Total score,Monaco,Italy,Luxembourg,United Kingdom,Yugoslavia,Switzerland,Norway,France,Netherlands,Germany,Sweden,Denmark,Austria,Spain,Belgium,Finland,Country,Year
4,,,,3,,,1,,,,,,,,,,Finland,1962
0,,,,,,,,,,,,,,,,,Belgium,1962
0,,,,,,,,,,,,,,,,,Spain,1962
0,,,,,,,,,,,,,,,,,Austria,1962
2,,1,,,,,,,,,1,,,,,,Denmark,1962
4,,,,,,,,,1,,,3,,,,,Sweden,1962
9,2,,,2,,,,,2,,,1,,,,2,Germany,1962
0,,,,,,,,,,,,,,,,,Netherlands,1962
26,1,2,1,1,3,3,3,,,3,3,,2,2,2,,France,1962
2,,,,,,,,2,,,,,,,,,Norway,1962
2,,,,,,,,,,2,,,,,,,Switzerland,1962
10,,3,,,,,,3,,,2,,,,1,1,Yugoslavia,1962
10,,,,,2,2,,,,,,2,,1,,3,United Kingdom,1962
11,3,,,,,1,,,,,,,1,3,3,,Luxembourg,1962
3,,,2,,1,,,,,,,,,,,,Italy,1962
13,,,3,,,,2,1,3,1,,,3,,,,Monaco,1962
