Total score,United Kingdom,Netherlands,Germany,Austria,Norway,Italy,Finland,Denmark,Yugoslavia,Switzerland,France,Spain,Sweden,Belgium,Monaco,Luxembourg,Country,Year
28,,3,,,5,,3,3,3,,3,5,2,,1,,United Kingdom,1963
0,,,,,,,,,,,,,,,,,Netherlands,1963
5,,,,,2,,,,,,,,,,3,,Germany,1963
16,4,,,,,,4,1,,,2,,3,2,,,Austria,1963
0,,,,,,,,,,,,,,,,,Norway,1963
37,2,1,,,3,,2,5,4,5,,3,,3,5,4,Italy,1963
0,,,,,,,,,,,,,,,,,Finland,1963
42,3,5,2,3,4,2,5,,,3,,,5,5,,5,Denmark,1963
3,,,,,,,,,,,1,2,,,,,Yugoslavia,1963
40,5,,4,5,1,5,,4,,,,4,1,4,4,3,Switzerland,1963
25,,4,1,2,,4,,,5,4,,1,,1,2,1,France,1963
2,,,,,,,,,2,,,,,,,,Spain,1963
0,,,,,,,,,,,,,,,,,Sweden,1963
4,,,,4,,,,,,,,,,,,,Belgium,1963
25,1,2,5,1,,3,,,1,1,5,,4,,,2,Monaco,1963
13,,,3,,,1,1,2,,2,4,,,,,,Luxembourg,1963
