Total score,Luxembourg,Netherlands,Norway,Denmark,Finland,Austria,France,United Kingdom,Germany,Monaco,Portugal,Italy,Yugoslavia,Switzerland,Belgium,Spain,Country,Year
14,,3,,,,,3,,5,,,3,,,,,Luxembourg,1964
2,,,,1,,,,1,,,,,,,,,Netherlands,1964
6,,,,5,1,,,,,,,,,,,,Norway,1964
4,,,1,,,,,,,,,,,,,3,Denmark,1964
9,,,3,3,,,,3,,,,,,,,,Finland,1964
11,,,,,,,,,,,,5,,,1,5,Austria,1964
14,1,,,,,3,,,,5,3,,1,,,1,France,1964
17,,1,5,,3,1,1,,1,,,,,5,,,United Kingdom,1964
0,,,,,,,,,,,,,,,,,Germany,1964
15,3,,,,,,5,,,,,,3,1,3,,Monaco,1964
0,,,,,,,,,,,,,,,,,Portugal,1964
49,5,5,,,5,5,,5,3,3,5,,5,3,5,,Italy,1964
0,,,,,,,,,,,,,,,,,Yugoslavia,1964
0,,,,,,,,,,,,,,,,,Switzerland,1964
2,,,,,,,,,,1,1,,,,,,Belgium,1964
1,,,,,,,,,,,,1,,,,,Spain,1964
