Total score,Netherlands,United Kingdom,Spain,Ireland,Germany,Austria,Norway,Belgium,Monaco,Sweden,France,Portugal,Italy,Denmark,Luxembourg,Finland,Yugoslavia,Switzerland,Country,Year
5,,,,,,,5,,,,,,,,,,,,Netherlands,1965
26,,,5,,,,1,6,,3,,,1,5,,,,5,United Kingdom,1965
0,,,,,,,,,,,,,,,,,,,Spain,1965
11,,,,,,,,,,,,3,5,,,,3,,Ireland,1965
0,,,,,,,,,,,,,,,,,,,Germany,1965
16,,3,,5,,,,,,,,5,3,,,,,,Austria,1965
1,,,,,,1,,,,,,,,,,,,,Norway,1965
0,,,,,,,,,,,,,,,,,,,Belgium,1965
7,,5,,,,,,,,,,,,,,,1,1,Monaco,1965
6,,,,,,,,,,,,,,3,,3,,,Sweden,1965
22,1,,3,1,3,,,,5,,,,,,3,1,5,,France,1965
1,,,,,,,,,1,,,,,,,,,,Portugal,1965
15,3,1,,,1,,,3,3,,3,,,,1,,,,Italy,1965
10,,,,,,,,,,5,,,,,5,,,,Denmark,1965
32,5,,1,3,5,5,3,,,1,,,,1,,5,,3,Luxembourg,1965
0,,,,,,,,,,,,,,,,,,,Finland,1965
2,,,,,,,,,,,1,1,,,,,,,Yugoslavia,1965
8,,,,,,3,,,,,5,,,,,,,,Switzerland,1965
