Total score,Germany,Denmark,Belgium,Luxembourg,Yugoslavia,Norway,Finland,Portugal,Austria,Sweden,Spain,Switzerland,Monaco,Italy,France,Netherlands,Ireland,United Kingdom,Country,Year
7,,,1,,,,,,,,,5,,1,,,,,Germany,1966
4,,,,,,1,3,,,,,,,,,,,,Denmark,1966
14,5,,,,,,,3,,1,,,,,,5,,,Belgium,1966
7,,,,,,,,,1,5,,,,,1,,,,Luxembourg,1966
9,3,,,,,,1,,,,,,,,,,,5,Yugoslavia,1966
15,1,,,,,,,,3,3,3,,,5,,,,,Norway,1966
7,,3,,,,3,,,,,,,,,,1,,,Finland,1966
6,,1,,,,,,,,,5,,,,,,,,Portugal,1966
31,,,5,5,5,,,1,,,1,3,5,3,3,,,,Austria,1966
16,,5,,,,5,5,,,,,1,,,,,,,Sweden,1966
9,,,,,1,,,5,,,,,,,,,,3,Spain,1966
12,,,,1,,,,,5,,,,3,,,,3,,Switzerland,1966
0,,,,,,,,,,,,,,,,,,,Monaco,1966
0,,,,,,,,,,,,,,,,,,,Italy,1966
1,,,,,,,,,,,,,1,,,,,,France,1966
2,,,,,,,,,,,,,,,,,1,1,Netherlands,1966
14,,,3,,3,,,,,,,,,,5,3,,,Ireland,1966
8,,,,3,,,,,,,,,,,,,5,,United Kingdom,1966
