Total score,Netherlands,Luxembourg,Austria,France,Portugal,Switzerland,Sweden,Finland,Germany,Belgium,United Kingdom,Spain,Norway,Monaco,Yugoslavia,Italy,Ireland,Country,Year
2,,,,,,,,,,,1,,,,,,1,Netherlands,1967
17,4,,,,,,,2,,1,2,1,,1,1,3,2,Luxembourg,1967
2,,,,,1,,,,,,,,,,1,,,Austria,1967
20,1,2,1,,,1,4,,2,,2,,,2,4,,1,France,1967
3,,,,1,,1,,,,,,1,,,,,,Portugal,1967
0,,,,,,,,,,,,,,,,,,Switzerland,1967
7,,,,,1,,,1,,,,,2,,1,,2,Sweden,1967
3,1,,,,1,,,,,,,,,,,1,,Finland,1967
7,,,,,1,,1,,,1,1,,1,,,1,1,Germany,1967
8,,,,,1,,,3,1,,1,,,,1,,1,Belgium,1967
47,2,5,3,7,1,7,1,2,3,3,,,7,3,,2,1,United Kingdom,1967
9,1,1,1,,2,,,,,1,,,,2,1,,,Spain,1967
2,1,,,,,,1,,,,,,,,,,,Norway,1967
10,,,2,1,,,1,,,,,5,,,,1,,Monaco,1967
7,,1,,1,1,,,,,1,,2,,,,1,,Yugoslavia,1967
4,,,,,,1,,,,,1,1,,,,,1,Italy,1967
22,,1,3,,1,,2,2,4,3,2,,,2,1,1,,Ireland,1967
