Total score,Portugal,Netherlands,Belgium,Austria,Luxembourg,Switzerland,Monaco,Sweden,Finland,France,Italy,United Kingdom,Norway,Ireland,Spain,Germany,Yugoslavia,Country,Year
5,,,,,,,,,,,,,2,,3,,,Portugal,1968
1,,,,,,,,,,,1,,,,,,,Netherlands,1968
8,1,,,,,,,,1,1,3,1,,,1,,,Belgium,1968
2,,,,,,,,,,,,,,,,2,,Austria,1968
5,,1,,1,,,1,,,1,,1,,,,,,Luxembourg,1968
2,,,,,,,,,,,,,,,,,2,Switzerland,1968
8,,2,,,1,,,,3,,,1,,1,,,,Monaco,1968
15,1,1,,,,,,,1,,,2,6,4,,,,Sweden,1968
1,,,,,,,,,,,,,1,,,,,Finland,1968
20,,3,6,2,3,3,,1,,,2,,,,,,,France,1968
7,1,,,,,2,,,,,,,,,2,,2,Italy,1968
28,1,2,2,,1,4,5,3,2,4,1,,,1,,2,,United Kingdom,1968
2,,,,,1,,,,,,,,,,1,,,Norway,1968
18,1,1,1,4,1,,,4,,,,,,,,,6,Ireland,1968
29,4,,,2,1,,4,,3,4,3,,1,1,,6,,Spain,1968
11,,,,,1,1,,2,,,,5,,,2,,,Germany,1968
8,1,,1,1,1,,,,,,,,,3,1,,,Yugoslavia,1968
