Total score,Yugoslavia,Luxembourg,Spain,Monaco,Ireland,Italy,United Kingdom,Netherlands,Sweden,Belgium,Switzerland,Norway,Germany,France,Portugal,Finland,Country,Year
5,,,1,,,,,,,1,,,,,3,,Yugoslavia,1969
7,1,,,3,,,,1,,1,,,1,,,,Luxembourg,1969
18,1,2,,3,1,,,,,3,,1,3,2,2,,Spain,1969
11,,,2,,,4,,2,2,1,,,,,,,Monaco,1969
10,,,,,,,1,1,1,,3,,1,,,3,Ireland,1969
5,1,,,1,1,,,,,,,,,,1,1,Italy,1969
18,2,4,,,,3,,1,5,,,,1,,1,1,United Kingdom,1969
18,,2,,1,,3,,,,1,4,1,,6,,,Netherlands,1969
8,,,,,,,,1,,,,3,,,1,3,Sweden,1969
10,,,2,,,,3,1,,,2,2,,,,,Belgium,1969
13,2,,,,3,,2,,,1,,1,2,,,2,Switzerland,1969
1,,,,,,,,,1,,,,,,,,Norway,1969
8,3,,2,,,,,,,1,,1,,1,,,Germany,1969
18,,1,,2,4,,4,2,1,,1,,1,,2,,France,1969
4,,,2,,,,,,,1,,,,1,,,Portugal,1969
6,,1,1,,1,,,1,,,,1,1,,,,Finland,1969
