Total score,Netherlands,Switzerland,Italy,Yugoslavia,Belgium,France,United Kingdom,Luxembourg,Spain,Monaco,Germany,Ireland,Country,Year
7,,,3,3,,,1,,,,,,Netherlands,1970
8,2,,,,,2,1,,,,2,1,Switzerland,1970
5,,,,1,,,,,2,,2,,Italy,1970
4,,,,,,,4,,,,,,Yugoslavia,1970
5,,,,,,3,,1,,,,1,Belgium,1970
8,,,1,2,,,,,,2,,3,France,1970
26,3,2,2,4,,2,,2,,4,4,3,United Kingdom,1970
0,,,,,,,,,,,,,Luxembourg,1970
8,,,3,,,,,2,,3,,,Spain,1970
5,,1,,,1,2,,,1,,,,Monaco,1970
12,,1,1,,,,,3,4,1,,2,Germany,1970
32,5,6,,,9,1,4,2,3,,2,,Ireland,1970
