Total score,Austria,Malta,Monaco,Switzerland,Germany,Spain,France,Luxembourg,United Kingdom,Belgium,Italy,Sweden,Ireland,Netherlands,Portugal,Yugoslavia,Finland,Norway,Country,Year
66,,3,5,2,7,2,3,2,3,3,6,4,6,3,5,4,3,5,Austria,1971
52,4,,2,2,3,5,3,2,3,4,4,2,4,5,2,2,3,2,Malta,1971
128,4,5,,10,10,2,8,4,8,10,4,10,9,9,8,10,7,10,Monaco,1971
78,5,5,4,,6,2,6,2,6,3,7,4,5,5,6,4,4,4,Switzerland,1971
100,6,5,7,6,,8,8,2,6,7,6,6,5,5,7,7,5,4,Germany,1971
116,4,8,10,5,7,,10,4,7,4,5,6,9,6,7,7,9,8,Spain,1971
82,3,2,8,8,5,5,,2,5,3,4,4,6,9,5,5,3,5,France,1971
70,2,7,6,3,2,4,5,,6,3,3,2,5,3,6,4,5,4,Luxembourg,1971
98,4,8,8,6,5,2,8,4,,8,3,5,7,5,7,6,6,6,United Kingdom,1971
68,3,2,5,4,2,2,5,2,6,,3,5,4,6,6,3,6,4,Belgium,1971
91,4,6,9,8,6,6,9,2,6,2,,7,6,2,3,8,2,5,Italy,1971
85,7,4,4,9,4,2,5,2,5,6,6,,3,9,3,6,4,6,Sweden,1971
79,7,6,6,3,4,5,7,2,6,3,6,2,,5,4,5,4,4,Ireland,1971
85,6,2,6,5,4,5,7,2,5,2,2,6,5,,9,5,6,8,Netherlands,1971
83,4,3,6,2,5,10,8,5,6,4,4,2,3,5,,6,5,5,Portugal,1971
68,6,2,4,2,7,6,6,2,3,2,5,2,5,4,4,,3,5,Yugoslavia,1971
84,4,4,4,4,4,3,4,2,10,10,2,4,6,3,8,6,,6,Finland,1971
65,3,3,6,4,2,2,5,2,7,6,2,2,7,2,5,4,3,,Norway,1971
