Total score,Germany,France,Ireland,Spain,United Kingdom,Norway,Portugal,Switzerland,Malta,Finland,Austria,Italy,Yugoslavia,Sweden,Monaco,Belgium,Luxembourg,Netherlands,Country,Year
107,,8,6,9,5,6,6,5,4,5,5,7,5,8,8,7,7,6,Germany,1972
81,5,,5,2,9,7,2,3,5,4,2,3,5,2,6,7,8,6,France,1972
72,4,3,,4,4,6,4,3,6,3,4,3,3,5,5,4,6,5,Ireland,1972
83,7,5,5,,3,8,6,3,4,4,5,3,2,7,8,3,5,5,Spain,1972
114,8,9,6,2,,10,4,8,2,7,7,7,9,6,9,4,8,8,United Kingdom,1972
73,4,3,6,5,4,,5,2,5,7,3,2,5,4,4,4,6,4,Norway,1972
90,3,4,7,7,4,2,,6,5,2,4,9,4,7,4,7,10,5,Portugal,1972
88,4,5,6,5,4,7,2,,4,7,8,5,5,4,6,4,7,5,Switzerland,1972
48,3,2,4,2,6,2,2,2,,5,2,2,2,3,3,2,2,4,Malta,1972
78,4,3,3,6,5,6,4,3,3,,3,3,4,4,5,8,6,8,Finland,1972
100,6,6,6,6,3,5,5,7,5,4,,6,8,10,5,4,5,9,Austria,1972
92,4,5,3,2,3,6,7,9,6,6,6,,4,8,6,6,6,5,Italy,1972
87,7,4,5,8,5,4,5,2,4,3,3,2,,4,9,8,8,6,Yugoslavia,1972
75,5,3,5,3,3,5,4,2,4,5,4,3,7,,5,7,5,5,Sweden,1972
65,4,3,4,3,5,6,2,2,5,5,3,3,4,3,,4,4,5,Monaco,1972
55,2,3,4,2,5,2,3,3,5,4,2,3,2,2,4,,6,3,Belgium,1972
128,9,8,9,2,10,8,7,6,4,6,8,9,10,8,7,8,,9,Luxembourg,1972
106,6,6,8,8,9,8,5,6,3,9,6,3,9,6,5,2,7,,Netherlands,1972
