Total score,Finland,Luxembourg,Israel,Norway,United Kingdom,Yugoslavia,Greece,Ireland,Germany,Portugal,Netherlands,Sweden,Spain,Monaco,Switzerland,Belgium,Italy,Country,Year
4,,,2,,1,,,1,,,,,,,,,,Finland,1974
14,1,,,,,4,1,1,2,,,,,,1,1,3,United Kingdom,1974
10,,1,,2,,,,,1,2,1,,,3,,,,Spain,1974
3,,,,,,,,,,,,1,,1,,1,,Norway,1974
7,,,,,,,,,,1,4,2,,,,,,Greece,1974
11,,,,,2,,,1,,2,2,1,,,,,3,Israel,1974
6,1,,,,,,,,,1,,,1,,,1,2,Yugoslavia,1974
24,5,1,2,2,,1,,1,2,1,3,,1,,5,,,Sweden,1974
14,,,2,,,2,1,3,1,,,,1,1,,1,2,Luxembourg,1974
14,,2,1,1,,,,1,2,1,,1,2,,1,2,,Monaco,1974
10,,3,,2,,,5,,,,,,,,,,,Belgium,1974
15,1,,1,1,,3,2,1,1,1,,3,,,,1,,Netherlands,1974
11,,2,1,2,1,,,,,,,2,2,1,,,,Ireland,1974
3,,,,,,,1,,,,,,,,1,1,,Germany,1974
3,,,,,1,,,,1,,,,,,,1,,Switzerland,1974
3,,,,,,,,,,,,,1,,2,,,Portugal,1974
18,2,1,1,,5,,,1,,1,,,2,4,,1,,Italy,1974
