Total score,Netherlands,Ireland,France,Germany,Luxembourg,Norway,Switzerland,Yugoslavia,United Kingdom,Malta,Belgium,Israel,Turkey,Monaco,Finland,Portugal,Spain,Sweden,Italy,Country,Year
152,,8,5,8,10,12,6,8,12,12,3,12,4,10,10,7,12,12,1,Netherlands,1975
68,6,,6,,,4,7,1,6,4,12,,,,1,4,3,10,4,Ireland,1975
91,8,12,,,,,3,,8,7,2,7,1,7,,12,8,8,8,France,1975
15,,,,,8,,,,,3,,,,,,,4,,,Germany,1975
84,12,10,3,,,,,7,3,5,,6,5,,5,8,6,4,10,Luxembourg,1975
11,2,,,,,,,,,,,,,2,,,,,7,Norway,1975
77,7,2,10,6,2,1,,,5,6,8,,7,5,4,2,,,12,Switzerland,1975
22,3,4,,2,,,,,,,5,,,,,1,,7,,Yugoslavia,1975
138,4,3,12,10,12,7,8,12,,8,10,10,,12,7,5,10,5,3,United Kingdom,1975
32,1,,8,,5,2,4,2,,,7,1,2,,,,,,,Malta,1975
17,5,,,7,,,,3,,,,,,,,,,2,,Belgium,1975
40,10,1,1,1,1,5,2,,1,,1,,6,,3,,,6,2,Israel,1975
3,,,,,,,,,,,,,,3,,,,,,Turkey,1975
22,,,,3,4,,,,2,1,,2,,,2,3,,,5,Monaco,1975
74,,5,,12,6,10,12,5,4,,,8,,8,,,1,3,,Finland,1975
16,,,2,,,,,,,,,,12,,,,2,,,Portugal,1975
53,,7,,5,,3,5,4,,,4,4,3,4,8,,,,6,Spain,1975
72,,,7,,7,8,1,6,7,2,,3,8,6,6,6,5,,,Sweden,1975
115,,6,4,4,3,6,10,10,10,10,6,5,10,1,12,10,7,1,,Italy,1975
