Total score,United Kingdom,Switzerland,Germany,Israel,Luxembourg,Belgium,Ireland,Netherlands,Norway,Greece,Finland,Spain,Italy,Austria,Portugal,Monaco,France,Yugoslavia,Country,Year
164,,12,8,12,8,12,3,10,12,12,10,12,4,10,12,10,7,10,United Kingdom,1976
91,12,,5,4,1,7,1,6,10,2,7,4,,8,7,4,6,7,Switzerland,1976
12,,2,,,2,1,,,,,,2,,,,,2,3,Germany,1976
77,6,7,3,,7,5,4,2,7,,8,1,10,6,2,1,,8,Israel,1976
17,,,,,,6,6,5,,,,,,,,,,,Luxembourg,1976
68,7,6,,1,,,,4,6,,12,,8,3,8,8,5,,Belgium,1976
54,10,,1,3,3,,,,,8,,5,12,2,,6,3,1,Ireland,1976
56,,4,4,8,4,4,2,,1,7,,3,2,4,6,2,,5,Netherlands,1976
7,,,,,,,,3,,,,,,,4,,,,Norway,1976
20,,,,,,2,,,,,4,,5,,1,,8,,Greece,1976
44,2,,6,6,,,5,1,4,,,6,,7,,7,,,Finland,1976
11,3,,,,,,,,,1,,,3,,,3,1,,Spain,1976
69,1,8,,2,,,12,,3,10,6,,,1,10,,10,6,Italy,1976
80,4,3,10,10,5,3,10,7,2,6,5,8,,,,5,,2,Austria,1976
24,,,,,6,,,,,4,1,,1,,,,12,,Portugal,1976
93,5,5,7,7,12,8,8,8,5,,2,7,7,5,3,,,4,Monaco,1976
147,8,10,12,5,10,10,7,12,8,5,3,10,6,12,5,12,,12,France,1976
10,,1,2,,,,,,,3,,,,,,,4,,Yugoslavia,1976
