Total score,Ireland,Monaco,Netherlands,Austria,Norway,Germany,Luxembourg,Portugal,United Kingdom,Greece,Israel,Switzerland,Sweden,Spain,Italy,Finland,Belgium,France,Country,Year
119,,8,1,5,12,5,8,1,12,10,12,8,12,4,8,,3,10,Ireland,1977
96,5,,,8,1,6,1,6,7,12,2,6,10,8,12,5,2,5,Monaco,1977
35,3,3,,,,,,,1,1,1,7,,1,,,10,8,Netherlands,1977
11,,5,,,2,,,,,3,,,,,,1,,,Austria,1977
18,,,,,,,3,2,2,,,,1,,5,,5,,Norway,1977
55,1,1,3,2,,,2,8,8,8,5,,5,5,6,,,1,Germany,1977
17,2,,,,,,,,,,,,,7,,8,,,Luxembourg,1977
18,,2,2,,,1,,,,,,4,,,3,,,6,Portugal,1977
121,,12,7,12,7,10,12,12,,,8,,8,3,2,4,12,12,United Kingdom,1977
92,,10,10,4,4,4,6,10,5,,3,1,7,12,1,6,6,3,Greece,1977
49,7,7,5,3,5,,,,,,,10,3,6,,,1,2,Israel,1977
71,6,,,10,10,,5,4,4,6,4,,,,4,10,8,,Switzerland,1977
2,,,,,,2,,,,,,,,,,,,,Sweden,1977
52,,,6,1,,7,7,,3,4,,3,,,7,7,7,,Spain,1977
33,8,6,,,,3,,3,,,,2,,2,,2,,7,Italy,1977
50,12,,4,6,8,,,,,2,7,5,2,,,,,4,Finland,1977
69,4,,12,,6,8,4,7,10,5,6,,4,,,3,,,Belgium,1977
136,10,4,8,7,3,12,10,5,6,7,10,12,6,10,10,12,4,,France,1977
