Total score,Ireland,Norway,Italy,Finland,Portugal,France,Spain,United Kingdom,Switzerland,Belgium,Netherlands,Turkey,Germany,Monaco,Greece,Denmark,Luxembourg,Israel,Austria,Sweden,Country,Year
86,,12,,3,,5,,,7,10,,10,5,,10,,10,,6,8,Ireland,1978
0,,,,,,,,,,,,,,,,,,,,,Norway,1978
53,10,6,,,1,4,8,6,1,1,,1,2,8,2,,3,,,,Italy,1978
2,,2,,,,,,,,,,,,,,,,,,,Finland,1978
5,,,4,,,,1,,,,,,,,,,,,,,Portugal,1978
119,6,3,10,2,2,,5,8,6,8,6,4,10,5,8,8,1,5,12,10,France,1978
65,,,,7,,,,,8,2,4,7,,4,6,12,2,6,7,,Spain,1978
61,3,,,,6,2,3,,2,4,2,6,8,7,3,,5,2,5,3,United Kingdom,1978
65,,5,1,1,,7,4,2,,7,8,,6,2,,3,8,1,10,,Switzerland,1978
125,12,7,6,6,4,12,2,12,10,,5,,3,12,12,,7,7,4,4,Belgium,1978
37,,,5,,,,,3,,,,,4,1,,5,6,12,,1,Netherlands,1978
2,,1,,,,,,1,,,,,,,,,,,,,Turkey,1978
84,1,,3,12,7,,10,,3,5,7,8,,10,7,1,,3,,7,Germany,1978
107,4,4,7,8,5,1,,10,5,6,10,5,7,,4,10,,8,1,12,Monaco,1978
66,7,,2,5,8,10,7,,4,,,,,,,4,4,10,3,2,Greece,1978
13,,,,,,6,,,,,1,,,,,,,4,2,,Denmark,1978
73,2,,12,,12,,12,7,,3,3,2,,6,1,7,,,,6,Luxembourg,1978
157,8,8,8,10,10,8,6,5,12,12,12,12,12,3,5,6,12,,8,,Israel,1978
14,,,,,3,,,,,,,3,1,,,2,,,,5,Austria,1978
26,5,10,,4,,3,,4,,,,,,,,,,,,,Sweden,1978
