Total score,Portugal,Italy,Denmark,Ireland,Finland,Monaco,Greece,Switzerland,Germany,Israel,France,Belgium,Luxembourg,Netherlands,Sweden,Norway,United Kingdom,Austria,Spain,Country,Year
64,,6,,,2,5,,4,4,,10,5,3,3,3,6,,7,6,Portugal,1979
27,8,,,,8,,,,,,,,,,,3,,,8,Italy,1979
76,,,,2,,3,12,1,10,12,6,7,4,8,1,,3,3,4,Denmark,1979
80,5,5,5,,6,,10,6,6,3,,10,7,,8,5,4,,,Ireland,1979
38,,7,,,,,7,8,5,,5,,6,,,,,,,Finland,1979
12,1,2,4,,,,,,,,3,,,,,,,,2,Monaco,1979
69,10,,1,4,,7,,7,2,10,4,1,5,7,2,,,2,7,Greece,1979
60,,,7,1,10,2,2,,7,4,7,,,,,8,,12,,Switzerland,1979
86,2,1,12,5,3,12,,,,6,12,4,1,2,6,,8,,12,Germany,1979
125,12,,6,12,12,8,4,5,,,1,2,8,1,12,12,12,8,10,Israel,1979
106,6,10,,,1,10,8,10,,5,,6,12,12,5,7,6,5,3,France,1979
5,,,2,,,,,,1,,,,,,,,2,,,Belgium,1979
44,7,,,3,4,4,5,3,,,2,,,4,,2,10,,,Luxembourg,1979
51,,,8,10,5,,3,,3,7,,3,,,4,4,,4,,Netherlands,1979
8,,,,6,,,1,,,1,,,,,,,,,,Sweden,1979
57,3,3,,8,,6,,,,2,,8,2,6,10,,7,1,1,Norway,1979
73,4,8,10,7,7,1,,2,8,,,,,5,,10,,6,5,United Kingdom,1979
5,,4,,,,,,,,,,,,,,,1,,,Austria,1979
116,,12,3,,,,6,12,12,8,8,12,10,10,7,1,5,10,,Spain,1979
