Total score,Austria,Turkey,Greece,Luxembourg,Morocco,Italy,Denmark,Sweden,Switzerland,Finland,Norway,Germany,United Kingdom,Portugal,Netherlands,France,Ireland,Spain,Belgium,Country,Year
64,,,1,,3,4,5,1,4,5,6,4,6,3,3,4,10,4,1,Austria,1980
23,3,,,,12,8,,,,,,,,,,,,,,Turkey,1980
30,5,,,1,,2,2,,,,4,,3,1,8,,4,,,Greece,1980
56,1,1,,,,,4,6,,3,7,,8,,,7,8,3,8,Luxembourg,1980
7,,,,,,7,,,,,,,,,,,,,,Morocco,1980
87,2,6,2,,,,3,10,8,6,2,7,4,12,1,2,2,10,10,Italy,1980
25,,,4,,2,,,,6,7,1,5,,,,,,,,Denmark,1980
47,,8,10,10,6,5,,,5,,,2,,,,,,1,,Sweden,1980
104,6,2,,5,7,3,8,2,,12,10,10,7,6,10,,12,2,2,Switzerland,1980
6,,,,,,,,,,,5,,,,,1,,,,Finland,1980
15,,,,,4,,,,,,,6,,,2,3,,,,Norway,1980
128,8,10,,3,10,12,7,5,7,2,,,10,8,12,10,5,12,7,Germany,1980
106,7,5,,8,8,,10,12,10,4,,3,,7,7,5,6,8,6,United Kingdom,1980
71,,4,5,4,,10,6,8,2,1,8,1,,,5,6,7,,4,Portugal,1980
93,12,12,6,12,,,,3,3,10,,8,2,4,,12,1,5,3,Netherlands,1980
45,,3,7,2,1,,1,4,1,,3,,5,,4,,3,6,5,France,1980
143,10,,12,7,,1,12,7,12,8,12,12,12,5,6,8,,7,12,Ireland,1980
38,4,7,8,6,5,6,,,,,,,,2,,,,,,Spain,1980
14,,,3,,,,,,,,,,1,10,,,,,,Belgium,1980
