Total score,Austria,Turkey,Germany,Luxembourg,Israel,Denmark,Yugoslavia,Finland,France,Spain,Netherlands,Ireland,Norway,United Kingdom,Portugal,Belgium,Greece,Cyprus,Switzerland,Sweden,Country,Year
20,,6,,,,1,,,5,6,,,,,,,,,,2,Austria,1981
9,,,,1,,,3,5,,,,,,,,,,,,,Turkey,1981
132,5,12,,3,8,8,2,7,8,12,3,6,4,7,12,10,5,8,,12,Germany,1981
41,10,,5,,3,,,4,3,1,,,,,4,,,,6,5,Luxembourg,1981
56,8,,,4,,,,6,,,7,7,8,4,5,,,,4,3,Israel,1981
41,,1,1,7,,,,,4,3,2,,,5,2,12,,,,4,Denmark,1981
35,,4,,,,,,8,,,,2,1,,,5,2,3,10,,Yugoslavia,1981
27,,,,,2,,,,1,2,5,5,,,1,,,,5,6,Finland,1981
125,12,,12,12,7,2,4,10,,,6,4,5,1,10,3,8,7,12,10,France,1981
38,,10,,,6,,,,,,4,3,10,,3,,,,2,,Spain,1981
51,3,5,3,,4,7,,,2,7,,,,6,7,2,3,2,,,Netherlands,1981
105,7,3,6,10,10,12,5,,6,5,10,,,,,1,10,12,1,7,Ireland,1981
0,,,,,,,,,,,,,,,,,,,,,Norway,1981
136,4,8,4,5,12,10,10,3,7,8,12,10,3,,6,8,6,4,8,8,United Kingdom,1981
9,,,8,,,,,,,,,,,,,,1,,,,Portugal,1981
40,1,7,,,1,6,8,2,,,,,,3,,,7,5,,,Belgium,1981
55,6,,2,6,,,1,,,10,,1,2,8,,6,,6,7,,Greece,1981
69,,,,,5,3,6,,,,8,8,7,10,,7,12,,3,,Cyprus,1981
121,2,2,7,8,,4,12,12,10,4,1,12,12,12,8,,4,10,,1,Switzerland,1981
50,,,10,2,,5,7,1,12,,,,6,2,,4,,1,,,Sweden,1981
