Total score,Portugal,Luxembourg,Norway,United Kingdom,Turkey,Finland,Switzerland,Cyprus,Sweden,Austria,Belgium,Spain,Denmark,Yugoslavia,Israel,Netherlands,Ireland,Germany,Country,Year
32,,7,,4,5,2,1,,6,,,,,,1,4,2,,Portugal,1982
78,6,,7,6,3,7,,,,2,8,5,4,,5,7,10,8,Luxembourg,1982
40,,6,,,,,,4,4,6,2,2,,,,,6,10,Norway,1982
76,4,12,6,,10,4,5,3,,12,,1,2,6,2,1,7,1,United Kingdom,1982
20,,8,3,,,1,3,,,3,,,,,,2,,,Turkey,1982
0,,,,,,,,,,,,,,,,,,,Finland,1982
97,2,2,4,12,2,,,6,2,10,12,,7,10,10,10,8,,Switzerland,1982
85,5,4,12,3,,8,8,,,5,3,7,,5,7,12,,6,Cyprus,1982
67,7,3,8,5,,3,4,,,8,5,4,8,2,,5,3,2,Sweden,1982
57,,,,10,7,,,7,,,6,8,6,4,4,,5,,Austria,1982
96,8,5,5,2,6,5,2,8,7,4,,10,10,7,6,3,4,4,Belgium,1982
52,,1,,,8,6,7,10,,,4,,,1,8,,,7,Spain,1982
5,3,,,,,,,,1,,,,,,,,1,,Denmark,1982
21,,,,,4,,,1,12,,1,,3,,,,,,Yugoslavia,1982
100,10,10,1,1,,12,10,2,10,7,7,6,1,3,,8,,12,Israel,1982
8,,,,,,,,,3,,,,,,,,,5,Netherlands,1982
49,1,,2,7,1,,6,5,5,,,3,5,8,3,,,3,Ireland,1982
161,12,,10,8,12,10,12,12,8,1,10,12,12,12,12,6,12,,Germany,1982
