Total score,France,Norway,United Kingdom,Sweden,Italy,Turkey,Spain,Switzerland,Finland,Greece,Netherlands,Yugoslavia,Cyprus,Germany,Denmark,Israel,Portugal,Austria,Belgium,Luxembourg,Country,Year
56,,3,,,10,,,10,6,7,2,3,4,4,,1,3,,,3,France,1983
53,,,5,3,,6,,,,,8,,,1,8,4,6,3,7,2,Norway,1983
79,5,5,,12,2,5,,8,,5,5,,6,3,5,,2,10,,6,United Kingdom,1983
126,6,12,8,,8,7,2,5,10,10,3,1,7,12,10,8,4,8,5,,Sweden,1983
41,7,,,2,,4,3,,1,2,,8,1,,,6,7,,,,Italy,1983
0,,,,,,,,,,,,,,,,,,,,,Turkey,1983
0,,,,,,,,,,,,,,,,,,,,,Spain,1983
28,,1,,,7,,1,,,,,7,,,,,,6,1,5,Switzerland,1983
41,1,2,6,,,3,,4,,8,,,,7,,7,,2,,1,Finland,1983
32,3,,,,,,12,,5,,,,12,,,,,,,,Greece,1983
66,2,7,1,6,4,2,,12,3,,,5,5,2,4,3,,4,2,4,Netherlands,1983
125,,8,12,,1,12,10,,12,6,7,,8,6,12,10,,1,12,8,Yugoslavia,1983
26,,4,,,,,,1,,,,6,,5,1,5,,,4,,Cyprus,1983
94,10,10,7,8,6,,,2,4,1,10,,,,3,,8,7,6,12,Germany,1983
16,,,2,7,,1,4,,,,,,2,,,,,,,,Denmark,1983
136,8,6,10,5,3,,6,7,7,3,12,10,,10,7,,10,12,10,10,Israel,1983
33,4,,,1,,,5,6,2,,6,2,,,,,,,,7,Portugal,1983
53,,,3,4,5,10,,,,4,4,4,3,,6,2,5,,3,,Austria,1983
13,,,4,,,,8,,,,,,,,,,1,,,,Belgium,1983
142,12,,,10,12,8,7,3,8,12,1,12,10,8,2,12,12,5,8,,Luxembourg,1983
