Total score,Sweden,Luxembourg,France,Spain,Norway,United Kingdom,Cyprus,Belgium,Ireland,Denmark,Netherlands,Yugoslavia,Austria,Germany,Turkey,Finland,Switzerland,Italy,Portugal,Country,Year
145,,6,6,4,10,7,12,7,12,12,10,4,12,12,3,8,10,6,4,Sweden,1984
39,,,,7,,,7,,5,5,,8,,,4,,,3,,Luxembourg,1984
61,2,,,,2,6,3,10,,,12,,8,,,,4,7,7,France,1984
106,10,8,10,,6,4,6,3,7,7,2,2,6,,12,,3,8,12,Spain,1984
29,8,7,,,,,,1,3,,,,,2,,6,2,,,Norway,1984
63,3,1,,3,8,,2,2,8,1,4,1,2,7,1,4,,10,6,United Kingdom,1984
31,4,,1,,,,,,4,10,,12,,,,,,,,Cyprus,1984
70,,12,12,2,3,,,,,,8,,3,4,5,10,,1,10,Belgium,1984
137,12,5,3,10,4,8,10,12,,3,7,,10,10,10,7,12,12,2,Ireland,1984
101,5,3,8,6,12,12,5,8,10,,3,6,4,5,2,5,1,5,1,Denmark,1984
34,,2,7,8,,1,,,6,,,5,,,,,5,,,Netherlands,1984
26,,,2,,,3,8,,,,,,,3,8,2,,,,Yugoslavia,1984
5,,,,,,,,,1,4,,,,,,,,,,Austria,1984
34,,,4,,7,2,,6,,2,5,,1,,,,,2,5,Germany,1984
37,6,,,,,5,,4,2,,1,10,,,,3,6,,,Turkey,1984
46,7,,5,1,5,,4,,,6,,3,5,1,6,,,,3,Finland,1984
30,1,,,,,10,1,5,,8,,,,,,1,,4,,Switzerland,1984
70,,10,,12,1,,,,,,,,7,6,7,12,7,,8,Italy,1984
38,,4,,5,,,,,,,6,7,,8,,,8,,,Portugal,1984
