Total score,Ireland,Finland,Cyprus,Denmark,Spain,France,Turkey,Belgium,Portugal,Germany,Israel,Italy,Norway,United Kingdom,Switzerland,Sweden,Austria,Luxembourg,Greece,Country,Year
91,,1,7,3,4,3,5,8,8,4,8,12,3,3,5,7,10,,,Ireland,1985
58,6,,6,,6,,3,,,,1,7,,7,2,10,,,10,Finland,1985
15,1,,,,,,,,,,,3,,,3,,,,8,Cyprus,1985
41,,,3,,,10,,3,1,6,,2,6,,,5,5,,,Denmark,1985
36,2,8,1,,,,12,,2,,,,,4,,,,1,6,Spain,1985
56,,5,4,,,,1,,3,,3,10,,2,4,6,3,3,12,France,1985
36,7,2,,,3,,,1,,2,,,1,8,12,,,,,Turkey,1985
7,,,,,,,7,,,,,,,,,,,,,Belgium,1985
9,,,,,,,2,,,,,,,,,,,,7,Portugal,1985
105,4,10,12,10,10,8,,10,7,,7,,8,1,,8,,10,,Germany,1985
93,8,,5,4,8,12,,,5,7,,5,10,5,7,2,7,6,2,Israel,1985
78,,6,10,1,12,5,8,2,12,,4,,,,,,6,12,,Italy,1985
123,12,4,,12,1,2,,12,,12,12,6,,12,6,12,12,7,1,Norway,1985
100,5,7,,5,5,6,10,6,6,5,2,8,7,,10,4,2,8,4,United Kingdom,1985
39,,3,2,6,,,6,5,4,1,,,5,,,1,1,2,3,Switzerland,1985
103,10,12,,8,2,7,4,7,,8,6,4,12,6,8,,4,5,,Sweden,1985
60,3,,,7,,1,,4,,10,10,,2,10,1,3,,4,5,Austria,1985
37,,,,2,,4,,,10,3,5,1,4,,,,8,,,Luxembourg,1985
15,,,8,,7,,,,,,,,,,,,,,,Greece,1985
