Total score,Luxembourg,Yugoslavia,France,Norway,United Kingdom,Iceland,Netherlands,Turkey,Spain,Switzerland,Israel,Ireland,Belgium,Germany,Cyprus,Austria,Sweden,Denmark,Finland,Portugal,Country,Year
117,,5,8,12,8,1,8,,,2,4,7,10,12,8,10,10,2,4,6,Luxembourg,1986
49,2,,,,7,5,7,3,3,,1,3,4,,12,1,1,,,,Yugoslavia,1986
13,,,,3,,,,,,7,,,,,,,3,,,,France,1986
44,,,4,,,4,2,,,6,,6,5,6,6,,,5,,,Norway,1986
72,4,,10,6,,,,6,2,4,2,,,5,2,3,8,8,10,2,United Kingdom,1986
19,,,,,,,5,2,6,,,,,,4,,2,,,,Iceland,1986
40,1,2,,,,,,7,1,,8,,,10,1,,,,3,7,Netherlands,1986
53,6,12,,,2,,6,,,8,3,,6,8,,2,,,,,Turkey,1986
51,7,4,6,,1,2,,8,,1,,5,3,,,7,,3,1,3,Spain,1986
140,12,6,7,5,5,3,12,10,4,,12,10,12,,5,4,12,4,7,10,Switzerland,1986
7,,,1,1,,,,,,5,,,,,,,,,,,Israel,1986
96,3,8,3,2,,8,,5,12,,6,,2,,,12,7,12,8,8,Ireland,1986
176,10,10,12,8,10,10,10,12,10,10,5,12,,1,10,6,6,10,12,12,Belgium,1986
62,8,1,,,12,,,,,,,8,7,,,8,5,7,2,4,Germany,1986
4,,3,,,,,,,,,,1,,,,,,,,,Cyprus,1986
12,,,,,,,,,,,,2,1,2,,,,,6,1,Austria,1986
78,5,7,2,7,3,12,3,,7,12,,,,4,,5,,6,5,,Sweden,1986
77,,,5,10,6,7,4,,5,3,10,4,,7,7,,4,,,5,Denmark,1986
22,,,,,,6,1,1,,,,,8,3,3,,,,,,Finland,1986
28,,,,4,4,,,4,8,,7,,,,,,,1,,,Portugal,1986
