Total score,Norway,Israel,Austria,Iceland,Belgium,Sweden,Italy,Portugal,Spain,Turkey,Greece,Netherlands,Luxembourg,United Kingdom,France,Germany,Cyprus,Finland,Denmark,Ireland,Yugoslavia,Switzerland,Country,Year
65,,,4,,7,10,7,,3,,,4,,,4,7,3,5,3,2,,6,Norway,1987
73,2,,1,5,6,4,,10,,,,3,,4,10,8,,7,,5,,8,Israel,1987
8,,,,,,,1,,,,7,,,,,,,,,,,,Austria,1987
28,4,,,,4,,,,4,,6,,,,,10,,,,,,,Iceland,1987
56,5,2,3,,,,6,,7,4,,,5,8,,4,5,3,,,4,,Belgium,1987
50,,12,,8,1,,3,7,,2,,,,,3,,7,,7,,,,Sweden,1987
103,,3,6,3,5,1,,12,12,8,,,4,1,,12,1,4,,12,12,7,Italy,1987
15,,,,,,,,,8,,5,,,,,2,,,,,,,Portugal,1987
10,,,,,,,,,,,10,,,,,,,,,,,,Spain,1987
0,,,,,,,,,,,,,,,,,,,,,,,Turkey,1987
64,,,,1,2,6,8,,,,,5,7,5,7,,12,,6,,5,,Greece,1987
83,,5,2,,,,10,,5,7,3,,8,3,12,,,2,2,6,8,10,Netherlands,1987
4,,,,,,,,2,,,,,,2,,,,,,,,,Luxembourg,1987
47,,10,5,,3,5,,3,,3,,,1,,,,2,1,4,3,2,5,United Kingdom,1987
44,1,,,4,,,5,,,,4,1,12,,,5,,,,10,,2,France,1987
141,3,8,10,12,10,7,4,5,1,6,,10,6,10,6,,6,10,12,7,7,1,Germany,1987
80,6,,,6,,2,,,,,12,2,,6,5,3,,6,10,8,10,4,Cyprus,1987
32,10,,,,,3,,4,2,,1,8,2,,,1,,,,,1,,Finland,1987
83,7,6,7,7,,8,2,1,,1,8,6,,7,8,,,8,,4,,3,Denmark,1987
172,8,4,12,,12,12,12,8,10,10,,12,10,12,1,6,8,12,5,,6,12,Ireland,1987
92,12,7,8,10,8,,,6,6,12,2,,,,2,,10,,8,1,,,Yugoslavia,1987
26,,1,,2,,,,,,5,,7,3,,,,4,,1,,3,,Switzerland,1987
