Total score,Iceland,Sweden,Finland,United Kingdom,Turkey,Spain,Netherlands,Israel,Switzerland,Ireland,Germany,Austria,Denmark,Greece,Norway,Belgium,Luxembourg,Italy,France,Portugal,Yugoslavia,Country,Year
20,,1,,,,,4,,,,,,4,,,,,1,2,8,,Iceland,1988
52,3,,,2,,,8,,,5,,,8,,12,1,3,10,,,,Sweden,1988
3,,,,,,,,3,,,,,,,,,,,,,,Finland,1988
136,1,5,10,,12,10,,10,5,7,10,10,10,6,5,12,8,12,,3,,United Kingdom,1988
37,,4,,1,,5,1,8,,,8,,,,,,4,,6,,,Turkey,1988
58,2,,,,5,,,2,6,,,8,1,8,2,6,6,8,,,4,Spain,1988
70,,,,6,6,,,7,7,2,6,,,12,,,12,5,,,7,Netherlands,1988
85,6,,6,4,,6,3,,10,1,5,2,,3,,10,5,3,10,10,1,Israel,1988
137,7,12,5,10,10,8,10,4,,10,12,,,10,8,4,1,7,1,12,6,Switzerland,1988
79,,7,2,3,2,12,6,,4,,7,6,7,,7,5,,,4,5,2,Ireland,1988
48,8,,,5,1,3,,5,,6,,,6,,4,,,,,2,8,Germany,1988
0,,,,,,,,,,,,,,,,,,,,,,Austria,1988
92,10,3,4,,,1,12,6,1,4,4,12,,,10,7,,,12,6,,Denmark,1988
10,,,,,3,,,,,,,,,,,,,,7,,,Greece,1988
88,5,8,7,12,,,7,1,,8,1,3,5,7,,3,,4,,7,10,Norway,1988
5,,,,,,,,,,,,,,,,,,,5,,,Belgium,1988
90,4,10,12,7,,,5,,12,12,,1,2,2,6,8,,2,,4,3,Luxembourg,1988
52,,,8,,4,7,,,8,,2,5,,,3,,2,,8,,5,Italy,1988
64,,2,3,,8,2,2,,3,,3,7,3,5,1,2,10,,,1,12,France,1988
5,,,,,,4,,,,,,,,1,,,,,,,,Portugal,1988
87,12,6,1,8,7,,,12,2,3,,4,12,4,,,7,6,3,,,Yugoslavia,1988
