Total score,Italy,Israel,Ireland,Netherlands,Turkey,Belgium,United Kingdom,Norway,Portugal,Sweden,Luxembourg,Denmark,Austria,Finland,France,Spain,Cyprus,Switzerland,Greece,Iceland,Germany,Yugoslavia,Country,Year
56,,,,,,,,,7,,,,,10,,12,6,2,4,,7,8,Italy,1989
50,1,,7,3,,,2,,,5,,5,,5,,,,7,,5,3,7,Israel,1989
21,,,,,7,3,,3,,,2,,,,,,,,,,4,2,Ireland,1989
45,10,,3,,,,3,,,,1,,4,4,7,6,,,1,,6,,Netherlands,1989
5,,,,,,,,,,,,,,,,1,,,,,,4,Turkey,1989
13,,,5,5,,,,2,,,,,,,,,,,,1,,,Belgium,1989
130,6,7,4,7,1,,,12,12,10,12,1,8,6,12,10,2,,2,,12,6,United Kingdom,1989
30,,2,,2,5,8,,,,2,,6,,,4,,,1,,,,,Norway,1989
39,,,,,4,2,,1,,3,7,,6,2,,8,,,6,,,,Portugal,1989
110,,6,,,,6,4,8,8,,6,12,12,,2,5,8,3,8,2,8,12,Sweden,1989
8,,,,,,,,,,,,,,,5,3,,,,,,,Luxembourg,1989
111,5,1,10,12,6,4,10,10,2,12,3,,7,12,6,,,,,10,,1,Denmark,1989
97,12,8,,,3,12,,,,7,,4,,1,,2,10,8,12,8,5,5,Austria,1989
76,,10,8,6,10,,,,1,4,4,,3,,10,7,3,,,,,10,Finland,1989
60,3,5,6,4,,,,5,,1,8,3,5,3,,,7,,5,,2,3,France,1989
88,8,,,,2,7,7,4,,,10,,,8,8,,4,10,10,,10,,Spain,1989
51,2,3,1,,,,6,,6,,,8,2,,,,,4,7,12,,,Cyprus,1989
47,4,4,,10,8,,8,,3,,,2,1,,,,,,,7,,,Switzerland,1989
56,,,,1,,1,5,6,10,,,,,,1,4,12,12,,4,,,Greece,1989
0,,,,,,,,,,,,,,,,,,,,,,,Iceland,1989
46,7,,2,,,5,1,,5,6,,7,,,,,1,6,3,3,,,Germany,1989
137,,12,12,8,12,10,12,7,4,8,5,10,10,7,3,,5,5,,6,1,,Yugoslavia,1989
