Total score,Spain,Greece,Belgium,Turkey,Netherlands,Luxembourg,United Kingdom,Iceland,Norway,Israel,Denmark,Switzerland,Germany,France,Yugoslavia,Portugal,Ireland,Sweden,Italy,Austria,Cyprus,Finland,Country,Year
96,,8,1,10,2,,1,4,5,,,6,12,5,3,5,,,8,8,8,10,Spain,1990
11,,,,,5,,,,,,,,,,,,,,,,6,,Greece,1990
46,,,,,7,4,,,1,,,4,8,8,,2,1,7,,4,,,Belgium,1990
21,,,,,3,,,2,4,,,,5,,7,,,,,,,,Turkey,1990
25,,1,,3,,1,4,,,2,,3,,6,,1,,,2,,2,,Netherlands,1990
38,,4,,,,,3,,,,,,3,12,2,3,,,1,5,5,,Luxembourg,1990
87,7,5,12,,,3,,,,10,3,10,1,10,10,,6,,6,1,3,,United Kingdom,1990
124,4,3,10,1,,8,12,,10,8,10,7,,,4,12,7,8,3,10,,7,Iceland,1990
8,,,,,,,,,,4,1,,,,,,3,,,,,,Norway,1990
16,,,,,4,,,,,,,2,4,,1,,,,,,,5,Israel,1990
64,6,,3,2,,,,7,7,7,,1,,,,7,4,3,7,6,4,,Denmark,1990
51,1,12,,6,,2,,,,,12,,,1,5,8,,,,,1,3,Switzerland,1990
60,8,,6,,,12,7,1,,,4,,,,,,10,4,5,3,,,Germany,1990
132,5,,4,4,12,,,12,12,6,5,12,10,,12,4,8,5,,2,7,12,France,1990
81,3,,,12,,,5,10,3,12,7,,,2,,,5,1,10,,10,1,Yugoslavia,1990
9,,,,,,7,2,,,,,,,,,,,,,,,,Portugal,1990
132,10,7,7,5,10,6,10,8,8,,8,5,7,7,,6,,12,,12,,4,Ireland,1990
24,2,2,,,6,,6,,6,,,,2,,,,,,,,,,Sweden,1990
149,12,10,8,8,8,10,,3,,1,6,8,6,4,6,10,12,10,,7,12,8,Italy,1990
58,,,2,7,1,5,8,6,,,,,,3,8,,2,2,12,,,2,Austria,1990
36,,6,5,,,,,,2,5,2,,,,,,,6,4,,,6,Cyprus,1990
8,,,,,,,,5,,3,,,,,,,,,,,,,Finland,1990
