Total score,Yugoslavia,Iceland,Malta,Greece,Switzerland,Austria,Luxembourg,Sweden,France,Turkey,Ireland,Portugal,Denmark,Norway,Israel,Finland,Germany,Belgium,Spain,United Kingdom,Cyprus,Italy,Country,Year
1,,,1,,,,,,,,,,,,,,,,,,,,Yugoslavia,1991
26,,,,,4,,,10,,,,,,,,,5,,,,,7,Iceland,1991
106,1,,,2,6,4,10,12,2,7,12,7,,6,,,10,4,6,7,,10,Malta,1991
36,4,,5,,,2,,,,,1,,,1,4,1,,1,5,,10,2,Greece,1991
118,5,5,,7,,8,12,8,4,2,2,6,5,3,8,5,6,12,,8,8,4,Switzerland,1991
0,,,,,,,,,,,,,,,,,,,,,,,Austria,1991
29,,4,,,,5,,1,,3,,2,4,,,,3,2,,3,2,,Luxembourg,1991
146,6,12,,,10,10,7,,,6,3,10,12,8,10,8,12,10,4,12,6,,Sweden,1991
146,10,7,3,8,7,12,,5,,,7,5,,12,12,10,8,7,8,6,7,12,France,1991
44,,,7,,,,,,7,,,,8,,7,,,,2,5,,8,Turkey,1991
47,3,,4,,3,1,8,,,4,,,7,,1,2,2,5,,4,,3,Ireland,1991
62,,8,,4,1,,2,7,10,5,,,1,2,,7,,,10,,4,1,Portugal,1991
8,,,,,,,,3,,,,,,5,,,,,,,,,Denmark,1991
14,,6,,,,,1,,,1,,,2,,,,4,,,,,,Norway,1991
139,12,10,8,5,8,,5,6,3,12,8,4,10,7,,6,,8,12,10,5,,Israel,1991
6,,1,,1,,,,,,,4,,,,,,,,,,,,Finland,1991
10,,,,,,,,,,,,,6,,,,,,1,,3,,Germany,1991
23,,,,,,3,,2,5,,,,,,,3,,,3,2,,5,Belgium,1991
119,8,2,6,10,12,7,6,4,6,8,6,8,,4,2,4,7,6,,1,12,,Spain,1991
47,,,10,3,5,6,3,,1,,,1,3,,5,,,3,,,1,6,United Kingdom,1991
60,2,3,12,12,,,4,,12,,5,3,,,6,,1,,,,,,Cyprus,1991
89,7,,2,6,2,,,,8,10,10,12,,10,3,12,,,7,,,,Italy,1991
