Total score,Spain,Belgium,Israel,Turkey,Greece,France,Sweden,Portugal,Cyprus,Malta,Iceland,Finland,Switzerland,Luxembourg,Austria,United Kingdom,Ireland,Denmark,Italy,Yugoslavia,Norway,Germany,Netherlands,Country,Year
37,,1,,1,4,6,,,,2,,3,,3,2,1,,1,7,,5,,1,Spain,1992
11,3,,,4,,3,,,,,,,,1,,,,,,,,,,Belgium,1992
85,10,,,2,,8,4,7,4,7,,,4,8,1,7,,2,,12,2,4,3,Israel,1992
17,,,,,,,,,,8,,,,,,,3,,,6,,,,Turkey,1992
94,,,7,8,,7,3,5,12,,2,5,10,,4,,,,12,7,8,,4,Greece,1992
73,6,,12,3,,,,,3,,,7,12,,,,5,,6,,10,3,6,France,1992
9,,,,,,1,,,,,,,,,,,,4,,4,,,,Sweden,1992
26,,,8,,2,,,,,,,2,,,,,,,1,5,,8,,Portugal,1992
57,,,3,,10,2,,2,,1,,8,2,,,,6,,4,8,3,,8,Cyprus,1992
123,12,10,,,7,,12,12,1,,8,,5,12,8,,10,8,3,10,,,5,Malta,1992
80,8,4,4,,6,,6,6,,,,,3,5,7,12,,5,5,,1,6,2,Iceland,1992
4,,,1,,,,,,,,,,,,,,,,,3,,,,Finland,1992
32,,5,,,,,,,,,12,,,,,4,1,,10,,,,,Switzerland,1992
10,,,,,,,,,,10,,,,,,,,,,,,,,Luxembourg,1992
63,2,8,,,8,,1,3,8,4,,,,,,10,12,7,,,,,,Austria,1992
139,5,12,2,10,,10,5,,6,6,4,6,8,7,12,,7,12,8,,,12,7,United Kingdom,1992
155,1,7,,12,12,,10,4,5,12,7,10,6,10,10,8,,10,2,2,7,10,10,Ireland,1992
47,4,,6,,,,7,1,,,6,,,6,3,3,,,,,6,5,,Denmark,1992
111,,,,5,3,12,8,8,10,5,10,12,7,,6,,,,,,12,1,12,Italy,1992
44,,,10,6,1,5,,,2,3,5,4,,2,,,4,,,,,2,,Yugoslavia,1992
23,,3,,,,,2,,,,1,1,,4,,5,,6,,1,,,,Norway,1992
27,,6,,,,,,10,,,,,,,,6,2,3,,,,,,Germany,1992
67,7,2,5,7,5,4,,,7,,3,,1,,5,2,8,,,,4,7,,Netherlands,1992
