Total score,Italy,Turkey,Germany,Switzerland,Denmark,Greece,Belgium,Iceland,Austria,Portugal,France,Sweden,Ireland,Luxembourg,Slovenia,Finland,Bosnia and Herzegovina,United Kingdom,Netherlands,Croatia,Spain,Cyprus,Israel,Norway,Malta,Country,Year
45,,,,1,,,,,,10,5,,,10,,8,,,2,,2,,,,7,Italy,1993
10,,,,,,,,1,,,,,,,,,2,,,1,6,,,,,Turkey,1993
18,8,,,2,3,,,,,,,,4,,,,,,1,,,,,,,Germany,1993
148,10,,12,,10,7,8,4,6,1,12,6,7,12,8,4,,10,8,2,3,6,4,3,5,Switzerland,1993
9,,,,,,,,,,,,1,,3,,,5,,,,,,,,,Denmark,1993
64,2,2,2,,,,,,,,7,,,,,6,,,5,,8,12,7,7,6,Greece,1993
3,,,3,,,,,,,,,,,,,,,,,,,,,,,Belgium,1993
69,7,5,4,7,5,5,,,4,2,2,4,2,,,,4,6,,4,4,1,3,,,Malta,1993
42,,,,,4,4,,,1,,,7,1,,5,,,2,7,5,,2,2,2,,Iceland,1993
32,,4,,,,1,3,,,,3,,6,,,,12,3,,,,,,,,Austria,1993
60,,,1,,1,2,,2,5,,8,2,,4,,2,,1,12,,12,3,,5,,Portugal,1993
121,,7,,4,12,3,,8,7,12,,8,10,6,4,1,,4,3,8,,10,8,6,,France,1993
89,,,8,8,7,,10,7,10,4,,,,5,6,7,,7,,,,,10,,,Sweden,1993
187,12,1,5,12,6,6,2,3,8,6,10,12,,7,12,3,8,12,10,6,10,7,5,12,12,Ireland,1993
11,,,,,,,,,,,,,,,1,,,,,,,,,,10,Luxembourg,1993
9,4,,,,,,,,,,,3,,,,,1,,,,,,,,1,Slovenia,1993
20,,3,,,,8,,5,,,,,,2,,,,,,,,,,,2,Finland,1993
27,3,12,,,,,1,,,,4,,3,,,,,,,,,,,,4,Bosnia and Herzegovina,1993
164,1,8,6,5,8,,12,12,12,7,6,10,8,8,10,5,3,,4,10,5,4,12,8,,United Kingdom,1993
92,6,6,7,,,,7,6,3,,,5,12,,7,,10,,,3,7,,,10,3,Netherlands,1993
31,,,,3,,,4,,,5,,,,,,,,8,,,1,,6,4,,Croatia,1993
58,5,,,6,,,5,,2,,,,,,2,10,6,,,7,,5,1,1,8,Spain,1993
17,,,,,2,10,,,,,,,,,,,,5,,,,,,,,Cyprus,1993
4,,,,,,,,,,3,1,,,,,,,,,,,,,,,Israel,1993
120,,10,10,10,,12,6,10,,8,,,5,1,3,12,7,,6,12,,8,,,,Norway,1993
