Total score,Sweden,Finland,Ireland,Cyprus,Iceland,United Kingdom,Croatia,Portugal,Switzerland,Estonia,Romania,Malta,Netherlands,Germany,Slovakia,Lithuania,Norway,Bosnia and Herzegovina,Greece,Austria,Spain,Hungary,Russia,Poland,France,Country,Year
48,,,,,2,,,,7,2,,3,6,5,,5,10,,,5,1,2,,,,Sweden,1994
11,,,,,,,,,,,,,,,,,,1,10,,,,,,,Finland,1994
226,10,7,,8,12,10,12,12,12,10,8,5,12,12,6,10,12,10,,10,10,10,12,8,8,Ireland,1994
51,,10,,,3,,,5,2,,,,,,,,5,,12,,4,,2,5,3,Cyprus,1994
49,8,1,6,,,6,,3,3,,,,,,1,3,,,,3,6,,1,4,4,Iceland,1994
63,,,1,5,,,6,8,8,5,,,2,4,3,,2,4,,1,3,3,5,3,,United Kingdom,1994
27,,,,,,,,,,,,10,,,12,,,,5,,,,,,,Croatia,1994
73,5,5,8,,8,8,,,5,,,1,3,,,,,,,,12,7,4,1,6,Portugal,1994
15,,,,,,,,,,,,8,,,,,,,,,2,,,,5,Switzerland,1994
2,,,,,,,,,,,,,,,,,,,2,,,,,,,Estonia,1994
14,,,,,,,,,,,,6,,,,2,,,6,,,,,,,Romania,1994
97,4,6,10,2,,1,7,4,6,7,10,,1,3,10,7,,12,7,,,,,,,Malta,1994
4,,,,,,,,,,,,,,,,,,,,4,,,,,,Netherlands,1994
128,6,3,5,6,7,7,10,10,,3,12,,4,,7,4,1,7,,2,8,12,7,7,,Germany,1994
15,,,,,,,,,,,,12,,,,,,,3,,,,,,,Slovakia,1994
0,,,,,,,,,,,,,,,,,,,,,,,,,,Lithuania,1994
76,7,,3,10,1,4,3,,1,8,4,,7,2,,1,,6,1,,5,5,8,,,Norway,1994
39,,2,,,,,4,,,,,7,,,8,,,,,,7,1,,,10,Bosnia and Herzegovina,1994
44,2,4,,12,,,,,,,6,4,,1,5,,4,,,,,4,,2,,Greece,1994
19,1,,,7,,3,2,,,,1,,,,,,,5,,,,,,,,Austria,1994
17,,,,,,,,,,,5,,,,2,,,,8,,,,,,2,Spain,1994
122,12,12,12,,10,2,5,1,4,4,2,,10,7,,,8,3,,8,,,3,12,7,Hungary,1994
70,,,4,3,4,5,1,2,,1,3,,5,6,,6,3,,4,6,,6,,10,1,Russia,1994
166,,8,7,1,6,12,8,7,10,12,7,2,8,10,4,12,6,8,,12,,8,6,,12,Poland,1994
74,3,,2,4,5,,,6,,6,,,,8,,8,7,2,,7,,,10,6,,France,1994
