Total score,Poland,Ireland,Germany,Bosnia and Herzegovina,Norway,Russia,Iceland,Austria,Spain,Turkey,Croatia,France,Hungary,Belgium,United Kingdom,Portugal,Cyprus,Sweden,Denmark,Slovenia,Israel,Malta,Greece,Country,Year
15,,,,,4,,6,,,,,,1,,,1,,,,,,,3,Poland,1995
44,,,1,5,1,5,3,,3,5,,1,,,,,,10,1,5,,,4,Ireland,1995
1,,,,,,,,,,,,,,,,,,,,,,1,,Germany,1995
14,,,,,,,,,,3,8,,,,,,,,3,,,,,Bosnia and Herzegovina,1995
148,12,10,4,1,,12,12,,4,12,,10,6,5,4,12,7,,2,7,10,6,12,Norway,1995
17,,,,,10,,,,,,6,,,,,,1,,,,,,,Russia,1995
31,,6,,,2,3,,4,,,,2,,,,,,6,8,,,,,Iceland,1995
67,2,,,,3,,,,6,4,,8,4,10,5,2,,4,10,,2,,7,Austria,1995
119,8,2,6,8,,,5,,,8,10,7,2,12,8,7,10,,,,12,8,6,Spain,1995
21,,,,,,,,,2,,5,,,1,2,,,,,3,1,7,,Turkey,1995
91,,3,,10,7,,10,,12,7,,,,,,4,5,,,12,4,12,5,Croatia,1995
94,7,5,8,,6,,8,10,,2,3,,10,6,1,,2,3,6,8,7,,2,France,1995
3,,,,,,2,,,1,,,,,,,,,,,,,,,Hungary,1995
8,,,,,,,,1,7,,,,,,,,,,,,,,,Belgium,1995
76,5,1,,4,,1,,12,,,,12,7,7,,10,,5,7,,5,,,United Kingdom,1995
5,,,,,,,,,,,,4,,,,,,,,,,,1,Portugal,1995
79,1,,3,,5,4,2,,5,,1,,12,8,3,,,8,5,4,6,4,8,Cyprus,1995
100,10,12,12,2,8,6,4,8,,1,,3,,,6,8,4,,12,1,,3,,Sweden,1995
92,3,7,7,3,12,10,7,7,,6,,,3,3,,6,,12,,6,,,,Denmark,1995
84,4,8,5,6,,7,1,3,,,2,,8,,10,5,3,7,,,3,2,10,Slovenia,1995
81,,,10,7,,8,,6,,,4,,5,4,12,,8,2,,10,,5,,Israel,1995
76,,4,2,12,,,,2,10,10,12,6,,,7,,6,1,4,,,,,Malta,1995
68,6,,,,,,,5,8,,7,5,,2,,3,12,,,2,8,10,,Greece,1995
