Total score,Turkey,United Kingdom,Spain,Portugal,Cyprus,Malta,Croatia,Austria,Switzerland,Greece,Estonia,Norway,France,Slovenia,Netherlands,Belgium,Ireland,Finland,Iceland,Poland,Bosnia and Herzegovina,Slovakia,Sweden,Country,Year
57,,6,8,,,10,1,,6,,,,4,,7,5,,5,,,5,,,Turkey,1996
77,3,,,12,1,6,7,3,4,,2,,8,,,12,3,,4,,,6,6,United Kingdom,1996
17,,,,,2,5,4,,,6,,,,,,,,,,,,,,Spain,1996
92,5,2,,,12,,10,1,10,5,,12,5,,6,6,,3,10,,1,,4,Portugal,1996
72,,12,7,3,,2,8,2,5,12,,,2,,,,1,6,,,,10,2,Cyprus,1996
68,10,,10,,,,12,,,8,,1,,4,,,,,,6,,12,5,Malta,1996
98,8,4,5,10,8,7,,,1,1,6,7,,3,5,4,6,,5,2,10,5,1,Croatia,1996
68,4,,,5,,12,,,,2,7,,12,1,,,8,,,8,6,3,,Austria,1996
22,,3,,,,,,,,,,,,2,4,2,4,4,3,,,,,Switzerland,1996
36,,7,,,10,1,,,2,,,3,,,1,,,,,1,,8,3,Greece,1996
94,,10,4,,7,,,5,,,,8,1,8,3,,2,12,12,10,,,12,Estonia,1996
114,2,8,,2,3,,5,8,7,,5,,7,10,10,8,7,7,8,4,3,,10,Norway,1996
18,,1,,1,,,,,,,3,4,,,,7,,2,,,,,,France,1996
16,,,1,,,,6,,,,,,,,,,,,1,,8,,,Slovenia,1996
78,1,,6,7,5,,,12,3,,4,,10,5,,1,5,,2,7,2,,8,Netherlands,1996
22,,5,12,,,,2,,,,1,,,,2,,,,,,,,,Belgium,1996
162,12,,,8,6,4,,7,12,10,12,10,6,12,12,3,,10,,12,12,7,7,Ireland,1996
9,,,,,,,,,,,,2,,,,,,,7,,,,,Finland,1996
51,,,3,6,,,,6,,3,8,5,,6,,,10,,,3,,1,,Iceland,1996
31,7,,,,4,,,4,,7,,,,,,,,,,,7,2,,Poland,1996
13,6,,,,,3,3,,,,,,,,,,,1,,,,,,Bosnia and Herzegovina,1996
19,,,2,,,8,,,,4,,,,,,,,,,5,,,,Slovakia,1996
100,,,,4,,,,10,8,,10,6,3,7,8,10,12,8,6,,4,4,,Sweden,1996
