Total score,Cyprus,Turkey,Norway,Austria,Ireland,Slovenia,Switzerland,Netherlands,Italy,Spain,Germany,Poland,Estonia,Bosnia and Herzegovina,Portugal,Sweden,Greece,Malta,Hungary,Russia,Denmark,France,Croatia,United Kingdom,Iceland,Country,Year
98,,,2,,3,4,4,10,4,10,5,,1,,3,,12,7,,1,7,4,4,5,12,Cyprus,1997
121,,,,7,2,,6,2,7,12,12,,6,12,5,6,7,10,6,4,,6,,4,7,Turkey,1997
0,,,,,,,,,,,,,,,,,,,,,,,,,,Norway,1997
12,,,,,,,,3,,,,1,,,,,,,5,3,,,,,,Austria,1997
157,8,6,3,10,,1,7,4,10,6,8,7,8,8,10,10,,,8,5,10,10,6,12,,Ireland,1997
60,2,10,,,,,,,,,,2,4,7,4,,3,5,,10,,7,3,,3,Slovenia,1997
5,,,,,,,,,2,3,,,,,,,,,,,,,,,,Switzerland,1997
5,,1,,,,,,,,,,,,,,,,4,,,,,,,,Netherlands,1997
114,6,5,,1,1,10,10,7,,8,4,8,,6,12,3,5,,3,7,4,,10,3,1,Italy,1997
96,10,4,,,6,5,8,6,3,,2,4,,,8,,6,12,10,8,2,2,,,,Spain,1997
22,,,,3,,,5,,5,,,,,,,,,3,1,,,,5,,,Germany,1997
54,,,4,8,,7,,1,1,2,6,,3,4,2,,1,,7,,5,3,,,,Poland,1997
82,1,,,6,8,3,,,12,4,7,6,,1,1,1,,,4,,8,8,,10,2,Estonia,1997
22,,8,,4,,,2,,,,3,,,,,4,,,,,,,1,,,Bosnia and Herzegovina,1997
0,,,,,,,,,,,,,,,,,,,,,,,,,,Portugal,1997
36,,,8,,5,6,,,,,,,,,,,,,,,6,,,7,4,Sweden,1997
39,12,,5,,,,,,,7,,,,,,,,6,,2,,,7,,,Greece,1997
66,5,12,10,,7,,,,6,1,,,,5,,,8,,,,3,1,8,,,Malta,1997
39,,3,,,4,,,,,,,5,5,,,,,2,,,,5,2,8,5,Hungary,1997
33,,,1,5,,12,,8,,,,,7,,,,,,,,,,,,,Russia,1997
25,,,7,,,,1,,,,,,,,,7,2,,,,,,,2,6,Denmark,1997
95,3,2,12,,10,2,3,5,,,,12,12,3,6,2,4,,2,6,1,,,,10,France,1997
24,4,,,,,,,,,,1,3,,2,,5,,8,,,,,,1,,Croatia,1997
227,7,7,6,12,12,8,12,12,8,5,10,10,10,10,7,12,10,1,12,12,12,12,12,,8,United Kingdom,1997
18,,,,2,,,,,,,,,2,,,8,,,,,,,,6,,Iceland,1997
