Total score,Croatia,Greece,France,Spain,Switzerland,Slovakia,Poland,Israel,Germany,Malta,Hungary,Slovenia,Ireland,Portugal,Romania,United Kingdom,Cyprus,Netherlands,Sweden,Belgium,Finland,Norway,Estonia,Turkey,Macedonia,Country,Year
131,,5,8,1,5,10,6,10,10,10,,12,3,2,,2,7,4,3,5,3,6,3,4,12,Croatia,1998
12,,,,,,,,,,,,,,,,,12,,,,,,,,,Greece,1998
3,,,,,,,,,,,,,,,,,1,,,,,,,,2,France,1998
21,1,,4,,6,,,3,,,,,,,,,4,,,3,,,,,,Spain,1998
0,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,1998
8,8,,,,,,,,,,,,,,,,,,,,,,,,,Slovakia,1998
19,,,2,,,,,,5,,2,,,,10,,,,,,,,,,,Poland,1998
172,,10,12,10,10,,10,,7,12,,7,6,12,7,5,10,6,5,10,10,3,7,5,8,Israel,1998
86,,3,,12,12,,,,,,,8,8,10,6,6,,12,,7,1,,1,,,Germany,1998
165,7,6,6,5,8,12,8,7,8,,7,3,12,5,,12,5,8,6,8,5,12,5,10,,Malta,1998
4,,,1,,,,,,,,,,,,1,,,,,,,2,,,,Hungary,1998
17,3,2,,,,,,,,,,,,,5,,,,,,4,,,3,,Slovenia,1998
64,2,,,,2,4,2,,2,6,6,1,,1,8,8,,,1,,,4,2,8,7,Ireland,1998
36,,1,10,6,,2,,2,,2,,,,,,,2,,,1,,,,6,4,Portugal,1998
6,,,,,,,,6,,,,,,,,,,,,,,,,,,Romania,1998
166,12,7,3,3,3,1,7,12,1,8,10,5,5,6,12,,8,7,7,6,8,5,8,12,10,United Kingdom,1998
37,4,12,,,,5,,1,,1,1,,,4,4,3,,,,2,,,,,,Cyprus,1998
150,10,8,5,4,7,6,5,8,6,7,12,,10,7,,10,,,8,12,7,8,,7,3,Netherlands,1998
53,,,,,,,3,,,4,8,,2,,,1,,5,,,6,10,12,2,,Sweden,1998
122,,4,7,7,4,7,12,5,4,3,3,6,7,8,,7,6,10,2,,,7,6,1,6,Belgium,1998
22,,,,,,,,,,,,,,,,,,,10,,,1,10,,1,Finland,1998
79,,,,8,1,,4,4,3,5,5,10,4,3,,4,3,3,12,4,2,,4,,,Norway,1998
36,,,,2,,8,1,,,,4,2,1,,,,,2,4,,12,,,,,Estonia,1998
25,5,,,,,,,,12,,,,,,2,,,1,,,,,,,5,Turkey,1998
16,6,,,,,3,,,,,,4,,,3,,,,,,,,,,,Macedonia,1998
