Total score,Lithuania,Belgium,Spain,Croatia,United Kingdom,Slovenia,Turkey,Norway,Denmark,France,Netherlands,Poland,Iceland,Cyprus,Sweden,Portugal,Ireland,Austria,Israel,Malta,Germany,Bosnia and Herzegovina,Estonia,Country,Year
13,,,,2,,,,,,,,,,5,,,,,3,1,,,2,Lithuania,1999
38,,,,4,,,,,,2,10,2,,,,,10,,5,,,,5,Belgium,1999
1,,,,1,,,,,,,,,,,,,,,,,,,,Spain,1999
118,6,5,12,,,12,8,,,7,1,7,4,2,1,6,6,8,7,5,10,8,3,Croatia,1999
38,5,,4,5,,2,4,,1,,,,,4,,,,,4,8,,1,,United Kingdom,1999
50,10,2,2,12,,,,,,1,6,,,,,,12,,,,,5,,Slovenia,1999
21,,,,,,,,4,,5,,,,,,,,,,,12,,,Turkey,1999
35,,,,7,,,,,6,,,,7,7,5,,3,,,,,,,Norway,1999
71,,,5,,5,5,,,,,,1,12,8,8,3,7,5,2,4,,,6,Denmark,1999
14,2,,,,,,2,8,,,,,,,,,2,,,,,,,France,1999
71,4,12,3,,8,3,5,,7,,,,6,,4,2,1,4,6,2,,4,,Netherlands,1999
17,7,,,,,,,,,,,,,,,,,,,,4,6,,Poland,1999
146,8,8,10,,10,,10,10,12,,7,4,,12,12,4,4,2,10,10,3,,10,Iceland,1999
2,,,,,2,,,,,,,,,,,,,,,,,,,Cyprus,1999
163,3,7,6,,12,7,6,12,10,3,8,6,10,6,,10,5,6,8,12,2,12,12,Sweden,1999
12,,,,,,,,,,12,,,,,,,,,,,,,,Portugal,1999
18,12,,,,4,,1,1,,,,,,,,,,,,,,,,Ireland,1999
65,,6,,,7,4,,6,3,,2,3,8,1,7,5,,,,,5,,8,Austria,1999
93,,3,8,8,,1,3,2,2,10,4,10,1,10,3,8,,1,,6,7,2,4,Israel,1999
32,,,,6,6,,,,,,,,,3,,1,,7,,,1,7,1,Malta,1999
140,,10,7,3,1,6,12,3,5,8,12,12,5,,2,12,,10,12,3,,10,7,Germany,1999
86,,1,,10,,10,7,7,8,6,3,5,3,,6,,,12,,,8,,,Bosnia and Herzegovina,1999
90,1,4,1,,3,8,,5,4,4,5,8,2,,10,7,8,3,1,7,6,3,,Estonia,1999
