Total score,Israel,Netherlands,United Kingdom,Estonia,France,Romania,Malta,Norway,Russia,Belgium,Cyprus,Iceland,Spain,Denmark,Germany,Switzerland,Croatia,Sweden,Macedonia,Finland,Latvia,Turkey,Ireland,Austria,Country,Year
7,,,,,6,,,,,,,,,,,,,,1,,,,,,Israel,2000
40,8,,,,2,,5,,,8,5,1,4,,1,,2,,,,,3,1,,Netherlands,2000
28,1,,,2,,3,6,,,,3,,,,,,4,,,,3,6,,,United Kingdom,2000
98,6,7,4,,,6,7,4,,2,6,5,,4,5,,6,6,,8,10,2,7,3,Estonia,2000
5,,2,,,,,,,3,,,,,,,,,,,,,,,,France,2000
25,,,,,,,,,6,,,,,,,,7,,12,,,,,,Romania,2000
73,3,1,2,1,,7,,2,8,1,8,,1,3,3,,8,3,8,,4,5,3,2,Malta,2000
57,7,,3,3,,,3,,,,,7,,7,,,,7,,,6,10,4,,Norway,2000
155,10,,8,10,5,12,12,8,,7,12,8,5,6,4,2,12,5,7,5,,,10,7,Russia,2000
2,,,,,,,,,,,,,,,,,,,2,,,,,,Belgium,2000
8,,,,,,,1,,,,,,,,,,3,,4,,,,,,Cyprus,2000
45,5,,,6,,,,7,,,,,,12,,,,8,,,7,,,,Iceland,2000
18,,,,,,5,,,2,,10,,,,,1,,,,,,,,,Spain,2000
195,12,10,12,8,7,1,8,10,12,10,4,12,10,,12,10,,12,,10,12,1,12,10,Denmark,2000
96,,8,5,,10,,,3,4,6,,6,12,2,,12,1,,,2,8,,5,12,Germany,2000
14,,6,,,,,,,5,,,,,,,,,,,,2,,,1,Switzerland,2000
70,,,,,8,8,,,10,,,,2,,6,6,,,10,6,,8,,6,Croatia,2000
88,,,6,5,1,,4,5,,5,,4,6,10,8,3,,,6,7,,12,6,,Sweden,2000
29,,,,,,10,,,7,,2,,,,,,10,,,,,,,,Macedonia,2000
18,,5,,7,,4,,,,,,,,,,,,2,,,,,,,Finland,2000
136,4,4,7,12,3,,,12,1,12,1,10,7,8,7,7,,10,3,12,,,8,8,Latvia,2000
59,,12,,,12,,,1,,3,,,,1,10,5,,1,5,4,,,,5,Turkey,2000
92,2,3,10,4,4,2,10,6,,4,7,2,3,5,,8,5,4,,1,1,7,,4,Ireland,2000
34,,,1,,,,2,,,,,3,8,,2,4,,,,3,5,4,2,,Austria,2000
