Total score,Netherlands,Iceland,Bosnia and Herzegovina,Norway,Israel,Russia,Sweden,Lithuania,Latvia,Croatia,Portugal,Ireland,Spain,France,Turkey,United Kingdom,Slovenia,Poland,Germany,Estonia,Malta,Greece,Denmark,Country,Year
16,,,,,5,1,,,,,6,,,,,,4,,,,,,,Netherlands,2001
3,,,,1,,,,,,,,,,,,,,,,,,,2,Iceland,2001
29,,,,,,,4,,,10,,,,,,,7,,,,1,,7,Bosnia and Herzegovina,2001
3,,,,,,,,,,,3,,,,,,,,,,,,,Norway,2001
25,,,6,,,,,,,,,,,10,7,,,,,,,2,,Israel,2001
37,,5,,,3,,,10,8,,,,,,,,,,,4,2,5,,Russia,2001
100,,7,3,2,8,2,,2,6,4,5,8,5,2,8,8,,5,,7,8,,10,Sweden,2001
35,5,1,2,,4,10,1,,5,,,1,,,,4,2,,,,,,,Lithuania,2001
16,,,,,,,,8,,,,,,,,,,,,8,,,,Latvia,2001
42,,,7,,,,,,,,,,,,10,,5,,3,,10,7,,Croatia,2001
18,,,,,,,,,,,,,6,12,,,,,,,,,,Portugal,2001
6,,,,,,,,,,,1,,,,,5,,,,,,,,Ireland,2001
76,7,2,5,4,12,,5,,4,,7,3,,5,6,3,1,1,,3,,8,,Spain,2001
142,8,4,12,7,2,12,6,7,7,6,12,7,3,,1,6,6,10,6,10,,4,6,France,2001
41,3,,,,,,,,,7,,,,7,,,,,7,,4,10,3,Turkey,2001
28,2,,,,,3,,3,3,3,2,4,1,,,,,2,2,,3,,,United Kingdom,2001
70,4,6,10,6,1,4,7,4,,8,,2,2,1,,,,6,4,5,,,,Slovenia,2001
11,,,,,,,2,,,,,,,,,,3,,5,,,,1,Poland,2001
66,1,,,3,,8,,,1,1,10,6,10,6,3,2,,4,,1,5,1,4,Germany,2001
198,12,10,4,10,6,6,8,12,12,2,,10,8,8,12,12,12,12,10,,12,12,8,Estonia,2001
48,,3,1,5,,7,3,1,,,,,4,,2,1,,3,1,2,,3,12,Malta,2001
147,6,8,8,8,10,5,12,5,2,5,4,5,12,3,5,7,8,8,8,6,7,,5,Greece,2001
177,10,12,,12,7,,10,6,10,12,8,12,7,4,4,10,10,7,12,12,6,6,,Denmark,2001
