Total score,Cyprus,United Kingdom,Austria,Greece,Spain,Croatia,Russia,Estonia,Macedonia,Israel,Switzerland,Sweden,Finland,Denmark,Bosnia and Herzegovina,Belgium,France,Germany,Turkey,Malta,Romania,Slovenia,Latvia,Lithuania,Country,Year
85,,3,,12,6,10,6,4,,,,1,4,,,3,,,,12,8,4,8,4,Cyprus,2002
111,,,12,7,,,,6,4,5,6,2,8,6,7,6,1,8,2,10,,8,5,8,United Kingdom,2002
26,1,,,,,,1,,,,7,,,,,5,,,12,,,,,,Austria,2002
27,12,,,,,1,8,,,,,,,,,,,,,,6,,,,Greece,2002
81,7,2,,4,,6,,,,6,12,7,,,6,12,12,7,,,,,,,Spain,2002
44,6,,6,5,,,,,5,,5,,,,2,,,3,,,,12,,,Croatia,2002
55,5,,,2,,,,10,,1,,,3,,,,,,,8,10,,10,6,Russia,2002
111,,7,3,,,5,3,,6,2,,12,10,8,10,4,,4,8,2,2,6,12,7,Estonia,2002
25,3,,,,,4,,,,,,,1,,,,,,,5,12,,,,Macedonia,2002
37,,5,,,,,,,,,1,,5,1,,2,10,5,,,5,,3,,Israel,2002
15,,,5,,,,,,,,,,,,,,3,2,,,3,1,1,,Switzerland,2002
72,,1,4,1,,,,8,,3,,,7,10,12,1,,,4,,,7,4,10,Sweden,2002
24,2,,,,,,,5,1,,,10,,3,3,,,,,,,,,,Finland,2002
7,,,,,,,,,,4,,,,,,,,,1,1,,,,1,Denmark,2002
33,,,7,,3,7,,,3,,,6,,2,,,,,,3,,2,,,Bosnia and Herzegovina,2002
33,,4,,,1,,7,,,,,3,,4,,,2,,10,,,,,2,Belgium,2002
104,,10,,3,8,,,3,,7,10,8,12,5,8,10,,6,,,4,3,2,5,France,2002
17,,,1,,2,,2,1,,,3,,,,,,,,3,4,1,,,,Germany,2002
29,,,,,4,3,,,8,,,,,,,,7,,,,7,,,,Turkey,2002
164,10,12,8,6,10,12,5,7,10,10,4,4,2,12,4,7,6,10,5,,,10,7,3,Malta,2002
71,8,,,8,5,,12,,12,8,,,,,,,4,1,7,6,,,,,Romania,2002
33,,6,2,,7,8,,,2,,2,,,,1,,5,,,,,,,,Slovenia,2002
176,4,8,10,10,12,2,10,12,7,12,8,5,6,7,5,8,8,12,6,7,,5,,12,Latvia,2002
12,,,,,,,4,2,,,,,,,,,,,,,,,6,,Lithuania,2002
