Total score,Iceland,Austria,Ireland,Turkey,Malta,Bosnia and Herzegovina,Portugal,Croatia,Cyprus,Germany,Russia,Spain,Israel,Netherlands,United Kingdom,Ukraine,Greece,Norway,France,Poland,Latvia,Belgium,Estonia,Romania,Sweden,Slovenia,Country,Year
81,,,7,8,12,,,6,5,1,,,,6,,4,,12,1,1,3,3,1,,7,4,Iceland,2003
101,10,,,6,,5,10,5,4,2,,8,,8,8,,2,8,,,4,2,6,,6,7,Austria,2003
53,2,,,5,5,,7,4,7,,,,,,12,1,,6,,,1,1,,,,2,Ireland,2003
167,3,12,,,4,12,8,10,8,10,,3,7,12,7,2,7,10,10,2,,12,,10,8,10,Turkey,2003
4,,,3,,,,1,,,,,,,,,,,,,,,,,,,,Malta,2003
27,,7,,12,,,,8,,,,,,,,,,,,,,,,,,,Bosnia and Herzegovina,2003
13,,,2,,,,,,,,,2,,,,3,,,6,,,,,,,,Portugal,2003
29,,5,6,3,,6,,,,,,,,,,,1,,,,,,,,,8,Croatia,2003
15,,,,,2,,,,,,,,1,,,,12,,,,,,,,,,Cyprus,2003
53,8,1,4,,3,,,,,,7,4,,2,4,,,,,5,2,,2,1,10,,Germany,2003
164,4,8,,10,1,3,4,12,10,8,,6,10,1,,12,10,2,7,4,12,7,12,7,2,12,Russia,2003
81,6,,,2,,,12,7,6,,6,,12,5,,,5,,,,,10,,5,4,1,Spain,2003
17,,,,,,,,,,,5,1,,,,,3,,8,,,,,,,,Israel,2003
45,,,5,,7,2,,,,,10,,2,,1,,,5,,,,8,,,5,,Netherlands,2003
0,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,2003
30,,,,,,,,,,,8,,4,,,,,,,10,5,,3,,,,Ukraine,2003
25,,,1,4,,,,,12,5,1,,,,,,,,,,,,,2,,,Greece,2003
123,12,2,12,,6,,5,,,7,4,,3,7,6,7,,,3,6,7,6,10,3,12,5,Norway,2003
19,,,,,,8,2,,,,,,,,,,,,,3,,,,6,,,France,2003
90,,10,,,10,,,,,12,,5,,4,2,8,6,4,5,,8,5,4,4,3,,Poland,2003
5,,,,,,,,,,,,,,,,,,,,,,,5,,,,Latvia,2003
165,7,4,10,7,,10,6,,3,6,3,12,8,10,5,10,8,3,12,12,10,,8,8,,3,Belgium,2003
14,1,,8,,,,,,,,2,,,,3,,,,,,,,,,,,Estonia,2003
73,,6,,1,,7,,1,2,4,12,10,6,,,6,4,1,4,8,,,,,1,,Romania,2003
107,5,3,,,8,1,3,2,1,3,,7,5,3,10,5,,7,2,7,6,4,7,12,,6,Sweden,2003
7,,,,,,4,,3,,,,,,,,,,,,,,,,,,,Slovenia,2003
