Total score,Andorra,Albania,Austria,Bosnia and Herzegovina,Belgium,Belarus,Switzerland,Serbia and Montenegro,Cyprus,Germany,Denmark,Estonia,Spain,Finland,France,United Kingdom,Greece,Croatia,Ireland,Israel,Iceland,Lithuania,Latvia,Monaco,Macedonia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Russia,Sweden,Slovenia,Turkey,Ukraine,Country,Year
87,12,,,,7,2,6,,7,2,,,,,8,,3,,,8,1,,,3,1,3,4,,1,12,5,,,,2,,Spain,2004
9,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,,Austria,2004
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,Norway,2004
40,7,1,,,10,,,,,,,,4,,,,,,,,,,,12,,,,,,2,,4,,,,,France,2004
263,2,7,12,12,3,7,12,,10,10,7,1,6,10,10,3,8,12,3,7,7,2,5,1,10,6,10,6,5,7,8,10,12,12,8,12,Serbia and Montenegro,2004
50,6,3,,1,,,,,,,1,6,,,,2,1,2,6,4,,4,6,,3,,,,3,1,,,,,,1,Malta,2004
11,,,,,6,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,Netherlands,2004
93,,2,10,3,,,10,,,,,2,12,,7,4,,1,4,,,1,,7,,,3,1,6,8,4,,,3,5,,Germany,2004
106,,,5,4,1,,7,8,,5,4,,,3,1,1,10,6,2,,4,,1,,12,10,1,3,,,1,,7,4,6,,Albania,2004
280,10,5,4,6,5,10,,10,8,6,5,12,8,8,2,5,7,8,7,12,12,12,12,6,8,8,7,7,12,10,6,12,10,8,12,,Ukraine,2004
50,,,3,10,,5,3,5,,1,,,,1,,,,,,,,,,,5,,,,,,,5,,5,,7,Croatia,2004
91,,10,7,,,,5,6,,,8,,,,,,,10,,,,,,4,4,,2,10,,,,,8,10,7,,Bosnia and Herzegovina,2004
7,1,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,Belgium,2004
67,,,,,,12,,1,6,,,8,,4,,,2,,,6,,8,10,,,,,,,,,,,,,10,Russia,2004
47,,6,,8,,,1,12,,,,,,,,,,5,,,,,,,,1,,,,,,,,7,4,3,Macedonia,2004
252,8,12,2,5,8,6,4,7,12,7,3,5,7,6,6,12,,7,5,10,6,10,7,10,7,12,6,2,7,6,12,7,4,6,10,8,Greece,2004
16,,,,,,,,,,,2,,,2,,,,,,,,,,5,,,,5,,,,2,,,,,Iceland,2004
7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,Ireland,2004
27,,,,,,,,,2,4,,,1,,,,4,,,,3,7,,,,,,,,,,,1,,,5,Poland,2004
29,,,,,,1,,,,,,4,,,,,,,8,,2,,3,,,4,,,2,,2,1,2,,,,United Kingdom,2004
170,4,,6,,4,8,2,3,,8,6,7,3,7,5,10,12,4,10,3,10,5,4,2,,7,8,4,4,3,3,6,6,1,1,4,Cyprus,2004
195,3,8,8,7,12,3,8,2,4,12,10,,2,5,12,6,6,3,1,2,5,3,2,8,6,,12,8,8,,10,8,5,,,6,Turkey,2004
18,,,,,,,,,3,,,,10,,,,,,,1,,,,,,,,,,4,,,,,,,Romania,2004
170,5,4,1,2,2,4,,4,5,3,12,10,5,12,3,8,,,12,5,8,6,8,,2,5,,12,10,5,7,3,,2,3,2,Sweden,2004
