Total score,Austria,Lithuania,Portugal,Monaco,Belarus,Netherlands,Iceland,Belgium,Estonia,Finland,Andorra,Bulgaria,Ireland,Slovenia,Poland,Hungary,United Kingdom,Malta,Romania,Norway,Turkey,Moldova,Albania,Cyprus,Spain,Israel,Serbia and Montenegro,Denmark,Sweden,Macedonia,Ukraine,Germany,Croatia,Greece,Russia,Bosnia and Herzegovina,Switzerland,Latvia,France,Country,Year
97,,,2,,2,,6,2,3,,6,5,,,10,,,,8,,6,,,7,5,8,6,,,1,2,,6,2,3,1,,3,3,Hungary,2005
18,,,,,,,,,,,,,8,,,,,4,,,1,,,5,,,,,,,,,,,,,,,,United Kingdom,2005
192,5,2,,5,5,5,4,8,4,8,,,10,1,,5,10,,2,10,8,,4,6,7,10,,10,6,,10,8,4,8,12,,3,5,7,Malta,2005
158,6,,12,4,1,3,5,7,,,7,8,5,,7,10,,7,,6,4,7,5,8,12,12,3,3,2,2,,,,5,,2,,,5,Romania,2005
125,,5,,,4,1,12,3,8,12,2,1,4,4,8,,5,5,,,,3,,3,3,1,2,12,8,,6,,,4,,3,,6,,Norway,2005
92,7,,,,,12,,10,,,,3,,,,,1,,3,,,,8,,,,,8,,4,,10,,,,8,6,,12,Turkey,2005
148,2,10,10,,7,,8,1,6,,,6,,3,3,4,2,2,12,,7,,,2,4,4,5,,,5,12,1,1,7,10,4,,8,2,Moldova,2005
53,3,,,,,,,,,,,,,,,,,,,,2,,,,,,8,,,12,,,2,10,,5,10,,1,Albania,2005
46,,,,,,,,,,,,10,,,,,3,12,1,,,,7,,,,1,,,,,,,12,,,,,,Cyprus,2005
28,,,8,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,Spain,2005
154,1,3,5,12,8,7,,6,1,5,8,,6,,,8,7,8,7,5,3,6,3,,6,,,5,1,,7,5,,,8,,1,2,10,Israel,2005
137,12,,,6,3,4,,,,,,4,,10,,2,,,6,,,1,6,10,,,,,4,10,3,3,12,6,6,10,12,1,6,Serbia and Montenegro,2005
125,,4,1,10,,8,10,4,5,2,3,,7,,5,6,8,3,4,12,,,,,10,3,,,10,,,6,,,,,,4,,Denmark,2005
30,,,,3,,,,,,6,,,,,,,,,,1,,5,,,2,,,7,,6,,,,,,,,,,Sweden,2005
52,,,,1,,,,,,,,7,,5,,,,,,,5,,10,,,,7,,,,,,8,,,7,2,,,Macedonia,2005
30,,,7,,,,,,,,,,,,12,,,,,,,8,,,1,,,,,,,,,,2,,,,,Ukraine,2005
4,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,Germany,2005
115,8,6,,7,,2,1,,2,1,,2,,12,2,7,,,5,2,,,2,,,,10,,,8,8,2,,,1,12,8,7,,Croatia,2005
230,4,1,3,,,10,2,12,,3,4,12,2,2,1,12,12,6,10,4,12,4,12,12,8,7,12,2,12,7,,12,5,,4,6,7,,8,Greece,2005
57,,7,,,12,,,,7,7,,,,,,,,,,,,10,,,,,,,,,4,,,,,,,10,,Russia,2005
79,10,,,,,6,,,,,,,1,8,,,4,,,7,10,,,,,,4,4,7,3,,,10,,,,5,,,Bosnia and Herzegovina,2005
128,,8,4,8,10,,7,,12,10,1,,3,6,6,3,,1,,3,,,,4,,2,,1,5,,5,4,3,3,7,,,12,,Switzerland,2005
153,,12,6,,6,,3,5,10,4,10,,12,7,4,1,6,10,,8,,12,,1,,6,,6,3,,1,7,7,1,5,,,,,Latvia,2005
11,,,,,,,,,,,5,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,France,2005
