Total score,Slovenia,Andorra,Romania,Denmark,Latvia,Portugal,Sweden,Finland,Belgium,Croatia,Serbia and Montenegro,Norway,Estonia,Ireland,Malta,Lithuania,Cyprus,Netherlands,Switzerland,Ukraine,Russia,Poland,United Kingdom,Armenia,France,Belarus,Germany,Spain,Moldova,Bosnia and Herzegovina,Iceland,Monaco,Israel,Albania,Greece,Bulgaria,Macedonia,Turkey,Country,Year
30,,,,,,1,,,,,,,,,12,,3,,,,,,,,,,,,,4,,6,4,,,,,,Switzerland,2006
22,,,12,,,3,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,1,,,1,Moldova,2006
4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,Israel,2006
30,,,,,,,,,,,,,3,4,,8,,,,4,1,,2,,,,,,,,,8,,,,,,,Latvia,2006
36,,,,1,6,,2,5,,,,,,,,,,,,3,7,,,1,,1,,,3,,4,1,,,2,,,,Norway,2006
18,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,Spain,2006
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Malta,2006
36,,,,3,3,,,,1,,,1,,3,,,,3,7,,,,5,,,,,5,,,,,,5,,,,,Germany,2006
26,,,,,,,8,3,,,,6,1,,,,,,,,,,,,,,,,,,8,,,,,,,,Denmark,2006
248,4,6,8,2,12,7,7,12,3,7,5,3,10,5,5,12,8,2,,12,,10,1,12,2,12,6,7,10,6,5,,12,4,8,10,8,5,Russia,2006
56,6,,,,,,,,,8,8,,,,,,,,4,,,,,7,,,,,,8,,,,3,,6,,6,Macedonia,2006
172,5,3,,6,2,10,6,6,2,5,4,4,4,6,10,1,10,,1,1,4,3,6,4,7,3,5,12,12,2,2,,10,2,7,2,2,3,Romania,2006
229,12,,7,8,,2,10,10,6,12,12,8,,2,,4,2,8,12,10,6,4,,5,6,4,7,1,5,,3,12,2,12,6,7,12,12,Bosnia and Herzegovina,2006
162,3,7,,7,10,4,3,8,4,6,3,5,8,12,1,,4,6,,5,5,8,10,,,6,1,4,4,,10,7,3,,4,1,3,,Lithuania,2006
25,,2,,4,1,,,,,1,,2,2,8,3,,1,,,,,1,,,,,,,,,,,,,,,,,United Kingdom,2006
128,,1,10,,,,4,1,10,,6,,,,8,3,12,5,5,,,,7,8,5,2,8,,1,1,,,,8,,12,7,4,Greece,2006
292,8,10,4,12,8,6,12,,8,10,7,12,12,10,7,10,5,7,8,7,8,12,12,,8,7,10,10,6,7,12,,7,,12,5,6,7,Finland,2006
145,2,5,3,,5,12,1,2,,4,2,,5,1,2,7,6,1,,,10,6,,10,,10,,3,8,5,6,2,6,,5,3,5,8,Ukraine,2006
5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,France,2006
56,10,,,,,,,,,,10,,,,,,,,6,,,,,,,,2,,,12,,4,,,,,10,2,Croatia,2006
93,1,4,2,5,4,5,5,4,,2,,7,6,,4,6,,4,3,2,,2,8,3,1,,4,,,,1,10,,,,,,,Ireland,2006
170,7,8,5,10,7,8,,7,5,3,1,10,7,7,6,5,,,2,6,2,7,4,6,3,5,,6,2,3,7,5,5,10,,,1,,Sweden,2006
91,,,6,,,,,,7,,,,,,,,,12,10,,,,3,,12,,12,,,10,,,1,7,3,4,4,,Turkey,2006
129,,,1,,,,,,12,,,,,,,2,7,10,,8,12,5,,,10,8,3,8,7,,,,8,,10,8,,10,Armenia,2006
