Total score,Montenegro,Belarus,Armenia,Andorra,Austria,France,Denmark,Greece,Spain,Serbia,Finland,Turkey,Bosnia and Herzegovina,Belgium,Portugal,Albania,Romania,Cyprus,Croatia,Slovenia,Israel,Germany,Lithuania,Norway,Switzerland,Czech Republic,Netherlands,Ireland,Malta,Estonia,Georgia,Bulgaria,Sweden,Ukraine,Russia,Latvia,Iceland,Poland,Moldova,United Kingdom,Macedonia,Hungary,Country,Year
106,7,,1,,8,1,7,,,8,,10,,,,8,,,10,8,,3,,6,8,4,7,,,,,,6,,,,,,,,4,,Bosnia and Herzegovina,2007
43,4,,,,,6,,1,,,,,,3,8,12,,,,,2,,,,5,,,,2,,,,,,,,,,,,,,Spain,2007
145,3,,10,,,,,5,,2,,,4,,1,2,1,6,,,12,,7,,,2,,,10,7,8,1,,12,12,8,4,7,10,,7,4,Belarus,2007
5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,2007
53,,1,,7,,,4,,,,,,,,,,,,,,,1,5,4,1,,,,,6,,,12,,,,12,,,,,,Finland,2007
73,10,,,,1,,,,,10,,1,8,,,3,,,8,10,,,,,6,5,,,,,1,10,,,,,,,,,,,Macedonia,2007
66,8,4,,,,,,,3,5,,,7,2,3,,,,7,,,,1,,,,,,5,,,,,4,3,4,,4,,,6,,Slovenia,2007
128,,,,6,2,,8,,,12,10,,,5,2,,8,,4,5,,7,4,8,3,,4,5,1,4,5,,8,,,5,8,2,,2,,,Hungary,2007
28,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,3,,,Lithuania,2007
139,,3,8,,,3,1,,2,4,,4,3,8,,7,10,12,,,1,10,,,4,3,5,,,,4,12,4,,,,5,,6,10,3,7,Greece,2007
97,,6,5,,,,,3,,,7,5,1,6,,,,1,2,2,6,,12,,,1,2,1,,5,,,,8,7,6,,5,4,,,2,Georgia,2007
51,,,,2,,,12,,,,8,,,,,,,,,,,,,12,,,,,,,,,,,,,10,,,7,,,Sweden,2007
19,,,2,8,,,,,,,,,,,,4,,,,,,,3,,,,,,,2,,,,,,,,,,,,,France,2007
54,,,,,,,,,,,,,,,,,2,,1,6,,,10,3,,,3,10,4,10,,,,,,,,1,,4,,,Latvia,2007
207,6,12,12,3,,2,2,8,4,7,3,8,2,,4,,3,7,3,3,8,6,6,5,,6,,6,6,12,7,5,5,10,,7,1,3,8,6,5,6,Russia,2007
49,,,,5,7,,5,,5,,1,,,,,6,,,,,,,,,7,,6,,,3,,,1,,,,2,,,1,,,Germany,2007
268,12,7,7,,12,8,6,4,1,,12,,12,7,5,1,6,3,12,12,3,8,,10,12,8,8,4,8,,6,6,10,6,5,3,7,8,5,,12,12,Serbia,2007
235,2,10,6,12,4,4,3,7,7,3,6,3,5,1,12,,4,4,5,4,10,5,8,2,2,12,1,8,3,8,10,3,3,,8,12,6,12,7,8,2,3,Ukraine,2007
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,,,,,,,,,,,,,,United Kingdom,2007
84,,,,10,3,7,,2,12,,,2,,,7,,,5,,,7,,,,,,,3,,,,2,,2,1,1,,,12,,,8,Romania,2007
157,5,,4,,6,5,,12,10,6,5,6,6,4,6,,5,10,6,7,,4,,,,7,,,7,1,,,,3,4,2,,,3,5,8,10,Bulgaria,2007
163,1,,,,10,12,10,,,,4,,10,12,,10,7,,,,,12,,7,10,,12,,,,2,7,7,1,2,,3,,1,12,10,1,Turkey,2007
138,,5,,,5,10,,6,8,,,12,,10,,,,8,,,5,2,,,,10,10,,,,12,8,,5,10,,,10,2,,,,Armenia,2007
109,,8,3,4,,,,10,6,1,2,7,,,10,,12,2,,1,4,,2,1,,,,2,,,3,4,2,7,6,,,6,,,1,5,Moldova,2007
